wave;original_name;routing;label_english
1;q33a;;Has the federal government taken enough action to safeguard medical coverage to fight the current epidemic?
1;q33b;;Has the federal government taken enough action in restricting the public life to fight the current epidemic?
1;q33c;;Has the federal government taken enough action to mitigate the economic repercussions to fight the current epidemic?
1;q33d;;Has the federal government taken enough action communicating with the general public to fight the current epidemic?
1;q32;;In general, how confident are you in the government?
1;q13;;Which of the following options describes your work situation at the beginning of March 2020 best?
1;q22;;How many children under 12 are in your household?
1;q23__1;if q22 > 0: ;I stay at home.
1;q23__2;if q22 > 0: ;My partner stays at home.
1;q23__3;if q22 > 0: ;The older siblings care for the younger children.
1;q23__4;if q22 > 0: ;The grandparents care for the children.
1;q23__5;if q22 > 0: ;Other relatives or friends care for the children.
1;q23__6;if q22 > 0: ;I organize child care with friends / neighbors together.
1;q23__7;if q22 > 0: ;The state organizes child care for my profession.
1;q23__8;if q22 > 0: ;My ex-partner cares for the children.
1;q23__9;if q22 > 0: ;The child(ren) stay(s) at home alone.
1;q23__10;if q22 > 0: ;Otherwise
1;q23and;if q22 > 0: ;Otherwise, namely:
1;q24;if q23__7 = 1: ;Are you well helped with this emergency (child) care?
1;q25a;if q23__7 = 1: ;If you want to say something about this emergency (child) care, maybe about what you think could be improved, you can put it here
1;eva2h;;How did you like this survey overall?
1;note;;Do you have any remarks or would like to add something to the special survey on the topic of coronavirus?
1;q4a;;In your opinion, how effective is wearing a mask when it comes to protecting yourself against the coronavirus?
1;q4b;;In your opinion, how effective is praying when it comes to protecting yourself against the coronavirus?
1;q4c;;In your opinion, how effective is washing your hands or using desinfectant when it comes to protecting yourself against the coronavirus?
1;q4d;;In your opinion, how effective is calling a physician if you are ill when it comes to protecting yourself against the coronavirus?
1;q4e;;In your opinion, how effective is calling a physician if you don't feel ill but are worried when it comes to protecting yourself against the coronavirus?
1;q4f;;In your opinion, how effective is avoiding public places when it comes to protecting yourself against the coronavirus?
1;q4g;;In your opinion, how effective is avoiding vulnerable people when it comes to protecting yourself against the coronavirus?
1;q4h;;In your opinion, how effective is avoiding visitng others in the hospital or retirement homes when it comes to protecting yourself against the coronavirus?
1;q4i;;In your opinion, how effective is avoiding cafes and restaurants when it comes to protecting yourself against the coronavirus?
1;q4j;;In your opinion, how effective is avoiding public transport when it comes to protecting yourself against the coronavirus?
1;q5;;Have you had personal, social contact with older people in the past seven days?
1;q8a;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? All kindergardens and schools have ot stay closed
1;q8b;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? All cafes and restaurants have to stay closed
1;q8c;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? All shops except for supermarkets and pharmacies have to stay closed
1;q8d;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? No visitors in hospitals and elderly homes
1;q8e;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? People aged 70 and over or with a medical condition have to stay at home except to do basic shopping or because urgent medical attention is required
1;q8f;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? Everyone who does not work in a crucial profession has to stay at home except to do basic shopping or because urgent medical care is required
1;q7;;Until when dou you think that the limitations that exist now will remain in effect?
1;q9;;If the government obliges everyone to stay home tomorrow (except to do basic groceries), how many out of 100 people who don't work in critical professions would do this, do you think?
1;q11__1;if q10 = 1:;I would comply with a curfew because I see it as my civic duty.
1;q11__2;if q10 = 1:;I would comply with a curfew out of fear of being punished.
1;q11__3;if q10 = 1:;I would comply with a curfew to protect myself from being infected.
1;q11__4;if q10 = 1:;I would comply with a curfew to protect those close to me.
1;q11__5;if q10 = 1:;I would comply with a curfew to protect others in general.
1;q11__6;if q10 = 1:;I would comply with a curfew to protect vulnerable groups.
1;q11__7;if q10 = 1:;I would comply with a curfew for another reason.
1;q11and;if q10 = 1:;I would comply with a curfew because of another resaon, namely:
1;q12__1;if q10 = 2: ;I would disobey a curfew because I don't accept such drastic infringements of my liberties
1;q12__2;if q10 = 2: ;I would disobey a curfew because I don't believe that I would be punished.
1;q12__3;if q10 = 2: ;I would disobey a curfew because I don't believe such drastic infringements are justified to stop the spread of coronavirus.
1;q12__4;if q10 = 2: ;I would disobey a curfew because I have obligations because of which I cannot follow the recommendaitons.
1;q12__5;if q10 = 2: ;I would disobey a curfew because I don't believe that a curfew will slow the spread of coronavirus.
1;q12__6;if q10 = 2: ;I would disobey a curfew because I don't believe I will be affected by the outbreak.
1;q12__7;if q10 = 2: ;I would disobey a curfew because it would be too boring to stay home all the time.
1;q12__8;if q10 = 2: ;I would disobey a curfew because of another reason.
1;q12and;if q10 = 2: ;I would disobey a curfew because of another reason, namely:
1;q14a;if q13 = 1 or q13 = 2: ;On average, how many hours per week did you work at your workplace in early March?
1;q14c;if q13 = 1 or q13 = 2: ;On average, how many hours per week did you work at home in early March?
1;q14b;if q13 = 1 or q13 = 2: ;On average, how many hours per week did you work at your workplace in the past seven days?
1;q14d;if q13 = 1 or q13 = 2: ;On average, how many hours per week did you work at home  in the past seven days?
1;q15__1;if q13 = 1 and sumhrsnow = 0: ;Less business activity in the company where I work
1;q15__4;if q13 = 1 and sumhrsnow = 0: ;Because of the risk of infection, my employer postponed work
1;q15__2;if q13 = 1 and sumhrsnow = 0: ;Must take care of people (children, parents) who depend on me
1;q15__3;if q13 = 1 and sumhrsnow = 0: ;I do not go to my workplace because I am afraid of being infected by the coronavirus and I cannot do the work I do at
1;q15__5;if q13 = 1 and sumhrsnow = 0: ;I got fired
1;q15__6;if q13 = 1 and sumhrsnow = 0: ;Otherwise
1;q15and;if q13 = 1 and sumhrsnow = 0: ;Otherwise, namely:
1;q16__1;if q13 = 1 and sumhrsnow > 0 and sumhrsnow < sumhrsbefore: ;Less business activity in the company where I work
1;q16__4;if q13 = 1 and sumhrsnow > 0 and sumhrsnow < sumhrsbefore: ;Because of the risk of infection, my employer has decided that less work will be done
1;q16__2;if q13 = 1 and sumhrsnow > 0 and sumhrsnow < sumhrsbefore: ;Must take care of people (children, parents) who depend on me
1;q16__3;if q13 = 1 and sumhrsnow > 0 and sumhrsnow < sumhrsbefore: ;I go to my workplace less because of fear of being infected by the coronavirus and not able to work at home.
1;q16__5;if q13 = 1 and sumhrsnow > 0 and sumhrsnow < sumhrsbefore: ;Otherwise
1;q16and;if q13 = 1 and sumhrsnow > 0 and sumhrsnow < sumhrsbefore: ;Otherwise, namely:
1;q17__1;if q13 = 2 and sumhrsnow < sumhrsbefore: ;Less business activity in my company
1;q17__2;if q13 = 2 and sumhrsnow < sumhrsbefore: ;Must take care of people (children, parents) who depend on me
1;q17__3;if q13 = 2 and sumhrsnow < sumhrsbefore: ;The entire company is closed (for now) due to the risk of contamination
1;q17__4;if q13 = 2 and sumhrsnow < sumhrsbefore: ;Other reason
1;q17and;if q13 = 2 and sumhrsnow < sumhrsbefore: ;Otherwise, namely:
1;q18;if q13 is not 1 and q13 is not 2: ;How often do you have personal social contacts with people who now work or study?
1;q19;if q13 is not 1 and q13 is not 2:;Do you have a background or skill that can be immediately used by hospitals or healthcare to fight the coronavirus?
1;q20;if q19 = 3 or q19 = 4 or q19 = 5: ;Suppose healthcare is overloaded by patients infected with the coronavirus. To what extent are you willing to volunteer in hospitals or retirement homes and care for people who are very ill from the coronavirus, even if that means that you are likely to contract the virus yourself?
1;q21__1;;Do you intend to do the following things in response to the spread of the coronavirus? Save more to have something to fall back on when things get worse
1;q21__2;;Do you intend to do the following things in response to the spread of the coronavirus? Postpone purchases of durable goods, such as a car, technical appliances or furniture, for the foreseeable future
1;q21__3;;Do you intend to do the following things in response to the spread of the coronavirus? Postpone the purchase of a house or apartment
1;q21__4;;Do you intend to do the following things in response to the spread of the coronavirus? Moving to a smaller house or apartment
1;q21__5;;Do you intend to do the following things in response to the spread of the coronavirus? Selling shares
1;q21__6;;Do you intend to do the following things in response to the spread of the coronavirus? Buying shares
1;q21__7;;Do you intend to do the following things in response to the spread of the coronavirus? None of the above
1;h1;;If the Dutch government today announced you would receive 1000 euros next week, what would you use that money for? Basic needs (e.g. groceries)
1;h2;;If the Dutch government today announced you would receive 1000 euros next week, what would you use that money for? Expenses (e.g. books)
1;h3;;If the Dutch government today announced you would receive 1000 euros next week, what would you use that money for? Durables
1;h4;;If the Dutch government today announced you would receive 1000 euros next week, what would you use that money for? Savings
1;h5;;If the Dutch government today announced you would receive 1000 euros next week, what would you use that money for? Financially support others
1;q28;;What is the probability that the Coronavirus crisis will lead to a situation where you have no income or where your income is lower than what you need to cover basic needs and outstanding payment obligations?
1;q29__1;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Use savings
1;q29__2;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Have to take out a loan / increase the mortgage
1;q29__3;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Must rely on family
1;q29__4;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Must apply for unemployment / disability benefits
1;q29__5;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Must retire (early)
1;q29__6;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Must rely on social assistance
1;q29__999;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Must rely on social assistance
1;q29and;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Other, namely:
1;q30a;;The past seven days I was very nervous
1;q30b;;The past seven days I was so down that nothing could cheer me up
1;q30c;;The past seven days I felt calm and peaceful
1;q30d;;The past seven days I felt dejected and gloomy
1;q30e;;The past seven daysI felt happy
1;q31a;;That I get very bored
1;q31b;;That I become infected with the coronavirus and become very ill or die
1;q31c;;That I get infected with the coronavirus and infect others
1;q31d;;That loved ones become infected with the coronavirus and become very ill or die
1;q31e1;;That I will lose my job
1;q31e2;;That my company gets in financial difficulties.
1;q31e3;;That I won't be able to find a new job.
1;q31f;;That I am unable to buy enough food
1;q31g;;That I will not get good health care
1;q31h;;That my favorite restaurant / cafe is going bankrupt
1;v1;;How long do you think the economic crisis will last?
1;v2a;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? Job loss (employed)
1;v2b;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? No more contracts (self-employed)
1;v2c;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? Shortening my pension
1;v2d;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? Assets will drop in value
1;v2e;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? My bank will go bankrupt
1;v2f;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? Struggle to repay debts
1;v3;;At what level will house prices in 12 months be compared to house prices in February (ie before the coronavirus outbreak)?
1;v4;;How many percent ^ f_hogerlager
1;v5a;;If you think about the coronavirus outbreak at this moment and then look ahead to the next 12 months, do you agree with the following statements? Spend less
1;v5c;;If you think about the coronavirus outbreak at this moment and then look ahead to the next 12 months, do you agree with the following statements? Work more
1;v5d;;If you think about the coronavirus outbreak at this moment and then look ahead to the next 12 months, do you agree with the following statements? Work less
1;v5e;;If you think about the coronavirus outbreak at this moment and then look ahead to the next 12 months, do you agree with the following statements? Borrow extra
1;v5f;;If you think about the coronavirus outbreak at this moment and then look ahead to the next 12 months, do you agree with the following statements? Postpone house purchase
1;v6a;;I think the government's action is appropriate
1;v6b;;I think the measures taken are insufficient
1;v6e;;The government must be prepared to save banks
1;v6f;;Pension funds need to be helped.
1;nomem_encr;;personal identifier
1;q26a;if q13 = 1: ;I will keep my job because my employer / company is not financially affected by the corona virus or is financially healthy enough to continue to pay wages
1;q26b;if q13 = 1: ;I will keep my job because the government provides help to my employer / company (eg by paying wages)
1;q26c;if q13 = 1: ;I will have lost my job or the number of hours will have been reduced to 0 indefinitely (e.g., forced unpaid leave, I am paid per hour in a restaurant ...)
1;q26d;if q13 = 1: ;Something else is happening
1;maandnr;;year and month of the fieldwork period
1;q25b;if q23__7 = 1: ;I have nothing to notice
1;q34a;;Would you like to comment on the coronavirus outbreak? For example about things that you find important and about which we have not asked questions, or about which you would like to provide more information?
1;q34b;;I have nothing to notice
1;eva2t1;;Was it difficult to answer the questions?
1;eva2t2;;Were the questions sufficiently clear?
1;eva2t3;;Did the questionnaire get you thinking about things?
1;eva2t4;;Was it an interesting subject?
1;eva2t5;;Did you enjoy answering the questions?
1;opm;;do you have comments on the questionnaire
1;evaopm;;comments on the questionnaire
1;DatumB;;date of questionnaire start
1;TijdB;;time of questionnaire start
1;DatumE;;date of questionnaire end
1;TijdE;;time of questionnaire end
1;duur;;time it took to fill the questionnaire in seconds
1;nohouse_encr;;encrypted household number
1;geslacht;;gender
1;positie;;household position
1;gebjaar;;birth year
1;leeftijd;;age
1;lftdcat;;age in CBS categories
1;lftdhhh;;age of the household head
1;aantalhh;;number of members in the household
1;aantalki;;number of all children living in the household
1;partner;;do you live with a married or unmarried partner
1;burgstat;;marital status
1;woonvorm;;some form of housing type, translation ambiguous
1;woning;;some form of housing type, translation ambiguous
1;sted;;urban residence
1;belbezig;;main activity
1;brutoink;;personal gross monthly income in euros
1;brutoink_f;;Imputed personal gross income
1;nettoink;;Personal net monthly income in euros
1;netinc;;Personal net income original value
1;nettoink_f;;Imputed personal net income
1;brutocat;;Personal gross monthly income in categories
1;nettocat;;Personal net monthly income in categories
1;brutohh_f;;imputed gross household income
1;nettohh_f;;imputed net household income
1;oplzon;;highest education regardless of diploma
1;oplmet;;highest education with diploma
1;oplcat;;education in CBS categories
1;q27a;if q13 = 2: ;My business continues as before or even better than before the coronavirus crisis.
1;q27b;if q13 = 2: ;My company will have less work than before the coronavirus crisis, but will not need government support.
1;q27c;if q13 = 2: ;My company will have less work than before the coronavirus crisis and will survive only through government support (e.g. through the relaxation of tax deferrals or additional income support for livelihoods).
1;q27d;if q13 = 2: ;My company will have less work than before the coronavirus crisis and will have to close down
1;q27e;if q13 = 2: ;Something else happens
2;q1a;;
2;q1b;;
2;q1c;;
2;q1e;;
2;q13;if (participate_wave1 != 1) ;Which of the following options describes your work situation at the beginning of March 2020 best?
2;q22;if (participate_wave1 != 1) ;How many children under 12 are in your household?
2;q23__1;if (q22 > 0) ;I stay at home.
2;q23__2;if (q22 > 0) ;My partner stays at home.
2;q23__3;if (q22 > 0) ;The older siblings care for the younger children.
2;q23__4;if (q22 > 0) ;The grandparents care for the children.
2;q23__5;if (q22 > 0) ;Other relatives or friends care for the children.
2;q23__6;if (q22 > 0) ;I organize child care with friends / neighbors together.
2;q23__7;if (q22 > 0) ;The state organizes child care for my profession.
2;q23__8;if (q22 > 0) ;My ex-partner cares for the children.
2;q23__9;if (q22 > 0) ;The child(ren) stay(s) at home alone.
2;q23__10;if (q22 > 0) ;Otherwise
2;q23and;if (q22 > 0) ;Otherwise, namely:
2;q7;;Until when dou you think that the limitations that exist now will remain in effect?
2;q14a_1_q14werk_1;if ((q13 = 1 || q13 = 2) && participate_wave1 != 1);On average, how many hours per week did you work at your workplace in early March?
2;q14a_1_q14thuis_1;if ((q13 = 1 || q13 = 2) && participate_wave1 != 1);On average, how many hours per week did you work at home in early March?
2;q14c_q14werk;if ((p_q13 = 1 || p_q13 = 2) && participate_wave1 = 1);On average, how many hours per week did you work at your workplace in the past seven days?
2;q14c_q14thuis;if ((p_q13 = 1 || p_q13 = 2) && participate_wave1 = 1);On average, how many hours per week did you work at home  in the past seven days?
2;q14b_1_q14werk_1;if ((q13 = 1 || q13 = 2) && participate_wave1 != 1);
2;q14b_1_q14thuis_1;if ((q13 = 1 || q13 = 2) && participate_wave1 != 1);
2;q15__1;;Less business activity in the company where I work
2;q15__2;;
2;q15__3;;Because of the risk of infection, my employer postponed work
2;q15__4;;Must take care of people (children, parents) who depend on me
2;q15__5;;I do not go to my workplace because I am afraid of being infected by the coronavirus and I cannot do the work I do at
2;q15__6;;
2;q15__7;;
2;q15__8;;I got fired
2;q15__9;;Otherwise
2;q15and;;Otherwise, namely:
2;q16__1;if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) ;Less business activity in the company where I work
2;q16__2;if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) ;
2;q16__3;if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) ;Because of the risk of infection, my employer has decided that less work will be done
2;q16__4;if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) ;Must take care of people (children, parents) who depend on me
2;q16__5;if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) ;I go to my workplace less because of fear of being infected by the coronavirus and not able to work at home.
2;q16__6;if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) ;
2;q16__7;if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) ;
2;q16__8;if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) ;
2;q16__9;if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) ;Otherwise
2;q16and;if ((q13 = 1 || p_q13 = 1) && sumhrsnow > 0 && sumhrsnow < sumhrsbefore) ;Otherwise, namely:
2;q17__1;if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) ;Less business activity in my company
2;q17__2;if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) ;
2;q17__3;if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) ;
2;q17__4;if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) ;Must take care of people (children, parents) who depend on me
2;q17__5;if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) ;
2;q17__6;if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) ;
2;q17__7;if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) ;
2;q17__8;if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) ;Other reason
2;q17and;if ((q13 = 2 || p_q13 = 2) && sumhrsnow < sumhrsbefore) ;Otherwise, namely:
2;q31a;;That I get very bored
2;q31b;;That I become infected with the coronavirus and become very ill or die
2;q31c;;That I get infected with the coronavirus and infect others
2;q31d;;That loved ones become infected with the coronavirus and become very ill or die
2;q31e1;;That I will lose my job
2;q31e2;;That my company gets in financial difficulties.
2;q31e3;;That I won't be able to find a new job.
2;q31f;;That I am unable to buy enough food
2;q31g;;That I will not get good health care
2;q31h;;That my favorite restaurant / cafe is going bankrupt
2;nomem_encr;;personal identifier
2;maandnr;;year and month of the fieldwork period
2;eva2t1;;Was it difficult to answer the questions?
2;eva2t2;;Were the questions sufficiently clear?
2;eva2t3;;Did the questionnaire get you thinking about things?
2;eva2t4;;Was it an interesting subject?
2;eva2t5;;Did you enjoy answering the questions?
2;opm;;do you have comments on the questionnaire
2;evaopm;if opm=1 ;comments on the questionnaire
2;DatumB;;date of questionnaire start
2;TijdB;;time of questionnaire start
2;DatumE;;date of questionnaire end
2;TijdE;;time of questionnaire end
2;duur;;time it took to fill the questionnaire in seconds
2;nohouse_encr;;encrypted household number
2;geslacht;;gender
2;positie;;household position
2;gebjaar;;birth year
2;leeftijd;;age
2;lftdcat;;age in CBS categories
2;lftdhhh;;age of the household head
2;aantalhh;;number of members in the household
2;aantalki;;number of all children living in the household
2;partner;;do you live with a married or unmarried partner
2;burgstat;;marital status
2;woonvorm;;some form of housing type, translation ambiguous
2;woning;;some form of housing type, translation ambiguous
2;sted;;urban residence
2;belbezig;;main activity
2;brutoink;;personal gross monthly income in euros
2;brutoink_f;;Imputed personal gross income
2;nettoink;;Personal net monthly income in euros
2;netinc;;Personal net income original value
2;nettoink_f;;Imputed personal net income
2;brutocat;;Personal gross monthly income in categories
2;nettocat;;Personal net monthly income in categories
2;brutohh_f;;imputed gross household income
2;nettohh_f;;imputed net household income
2;oplzon;;highest education regardless of diploma
2;oplmet;;highest education with diploma
2;oplcat;;education in CBS categories
2;p_aantalhh;;
2;arandom;;
2;participate_wave1;;
2;InfectionDiagnosed;;Has a doctor or another healthcare professional diagnosed you with the coronavirus (COVID-19)?
2;SelfPerceivedInfection;if (InfectionDiagnosed != 1) ;Do you think you�ve been infected with the coronavirus (COVID-19)?
2;rook;;
2;he035__1;if (rook < 3) ;What do you smoke? Multiple answers possible
2;he035__2;if (rook < 3) ;What do you smoke? Multiple answers possible
2;he035__3;if (rook < 3) ;What do you smoke? Multiple answers possible
2;he035__4;if (rook < 3) ;What do you smoke? Multiple answers possible
2;he036a;if he035__1=1 ;
2;he036b;if he035__2=1 ;
2;he036c;if he035__3=1;
2;he036d;if he035__4=1 ;
2;he038;;
2;he039;if (he038 = 1);
2;he040__1;if (he038 = 1) ;
2;he040__2;if (he038 = 1) ;
2;he040__3;if (he038 = 1) ;
2;he040__4;if (he038 = 1) ;
2;he040__5;if (he038 = 1) ;
2;he040__6;if (he038 = 1) ;
2;he040__7;if (he038 = 1) ;
2;he040and1;if he040__7=1;
2;he040and2;if he040__7=1;
2;he040a_v1;if he040__1=1 ;
2;he040a_v2;if he040__1=1 ;
2;he040a_v3;if he040__1=1 ;
2;he040a_v4;if he040__1=1 ;
2;he040b_v1;if he040__2=1;
2;he040b_v2;if he040__2=1;
2;he040b_v3;if he040__2=1;
2;he040b_v4;if he040__2=1;
2;he040c_v1;if he040__3=1|| if he040__4=1|| if he040__5=1 ;
2;he040c_v2;if he040__3=1|| if he040__4=1|| if he040__5=1 ;
2;he040c_v3;if he040__3=1|| if he040__4=1|| if he040__5=1 ;
2;he040d;if he040__6=1 ;
2;he040e;if he040and1 is response;
2;he040f;if he040and2 is response ;
2;he041v1;;
2;he041v2;;
2;he041v3;;
2;he041v4;;
2;he041v5;;
2;he042_v1;if (he041v1 > 1 || he041v2 > 1 || he041v3 > 1 || he041v4 > 1 || he041v5 > 1) ;
2;he042_v2;if (he041v1 > 1 || he041v2 > 1 || he041v3 > 1 || he041v4 > 1 || he041v5 > 1) ;
2;he042_v3;if (he041v1 > 1 || he041v2 > 1 || he041v3 > 1 || he041v4 > 1 || he041v5 > 1) ;
2;he042_v4;if (he041v1 > 1 || he041v2 > 1 || he041v3 > 1 || he041v4 > 1 || he041v5 > 1) ;
2;he042_v5;if (he041v1 > 1 || he041v2 > 1 || he041v3 > 1 || he041v4 > 1 || he041v5 > 1) ;
2;cs12e284;;
2;cs12e285;;
2;cs12e286;;
2;cs12e287;;
2;cs12e288;;
2;cs12e289;;
2;soccont1;;
2;soccont2;;
2;soccomp1;;
2;soccomp2;;
2;cruciaal;if (q13 = 1 || q13 = 2 || p_q13 = 1 || p_q13 = 2) ;
2;cruciaal_notempl;if (q13 > 2 || p_q13 > 2) ;
2;inc_jan;;
2;inc_feb;;
2;inc_mrt;;
2;expinc2020_col1;;
2;expinc2021_col1;;
2;expinc2022_col1;;
2;expinc2020_col2;;
2;expinc2021_col2;;
2;expinc2022_col2;;
2;ExpUnempl_before2020;;
2;ExpUnempl_before2021;;
2;ExpUnempl_before2022;;
2;ExpUnempl_today2020;;
2;ExpUnempl_today2021;;
2;ExpUnempl_today2022;;
2;ExpEcGr_before2020;;
2;ExpEcGr_before2021;;
2;ExpEcGr_before2022;;
2;ExpEcGr_today2020;;
2;ExpEcGr_today2021;;
2;ExpEcGr_today2022;;
2;ExpInfl_before2020;;
2;ExpInfl_before2021;;
2;ExpInfl_before2022;;
2;ExpInfl_today2020;;
2;ExpInfl_today2021;;
2;ExpInfl_today2022;;
2;StockTrading;;
2;Stock3;if (StockTrading = 3);
2;Stock4;if (StockTrading = 4);
2;Stock5;if (StockTrading = 5);
2;Stock6;if (StockTrading = 5);
2;Q_InformationTreatment;if (arandom > 1) ;
2;hist_perf_1_nocheck;;
2;hist_perf_2_nocheck;;
2;hist_perf_3_nocheck;;
2;hist_perf_1;if (((hist_perf_1_nocheck < 0 || hist_perf_1_nocheck > 100) || (hist_perf_2_nocheck < 0 || hist_perf_2_nocheck > 100) || (hist_perf_3_nocheck < 0 || hist_perf_3_nocheck > 100)) || (totaal != 100));
2;hist_perf_2;if (((hist_perf_1_nocheck < 0 || hist_perf_1_nocheck > 100) || (hist_perf_2_nocheck < 0 || hist_perf_2_nocheck > 100) || (hist_perf_3_nocheck < 0 || hist_perf_3_nocheck > 100)) || (totaal != 100));
2;hist_perf_3;if (((hist_perf_1_nocheck < 0 || hist_perf_1_nocheck > 100) || (hist_perf_2_nocheck < 0 || hist_perf_2_nocheck > 100) || (hist_perf_3_nocheck < 0 || hist_perf_3_nocheck > 100)) || (totaal != 100));
2;hist_perf_totaal;;
2;HistoricPerformance2;;
2;Memory;;
2;forw_look_1_nocheck;;
2;forw_look_2_nocheck;;
2;forw_look_3_nocheck;;
