new_name;import_name;liss-data-set;topic_english;group;label_english;nice_name_english;type;categories_english;ordered
home_problem_leaking_roof;home_problem_leaking_roof;housing_selected;background;housing;Does your dwelling have one or more of the following problems?;;bool;;TRUE
home_problem_damp;home_problem_damp;housing_selected;background;housing;Does your dwelling have one or more of the following problems?;;bool;;TRUE
home_price;home_price;housing_selected;background;housing;;;float;;
home_remaining_mortgage;home_remaining_mortgage;housing_selected;background;housing;;;float;;
sec_home_price;sec_home_price;housing_selected;background;housing;;;float;;
sec_home_remaining_mort;sec_home_remaining_mort;housing_selected;background;housing;;;float;;
paid_work;paid_work;work_schooling_selected;background;work;Does the respondent have paid work?;;bool;;
sector;sector;work_schooling_selected;background;work;In what sector do you work? (/In what sector did you work in your last job)?;;object;;
primary_occupation;primary_occupation;work_schooling_selected;background;work;primary occupation;;object;;
job_social;job_social;work_schooling_selected;background;work;Do (/did) you need to be able to relate well to other people?;;category;often|sometimes|never;TRUE
profession_firstjob;profession_firstjob;work_schooling_selected;background;work;What profession did you exercise in your first job?;;category;;
work_actual_hours;work_actual_hours;work_schooling_selected;background;work;Hours of work a week;;float;;
work_contract_hours;work_contract_hours;work_schooling_selected;background;work;Hours of work a week as written in the contract;;float;;
work_home;work_home;work_schooling_selected;background;work;Do you have work at home days? ;;category;;
profession;profession;work_schooling_selected;background;work;What is your current profession? (/What profession did you exercise in your last;;category;;
job_people;job_people;work_schooling_selected;background;work;How many people work (/worked) (approximately) in the branch/location where you;;float;;
job_supervise;job_supervise;work_schooling_selected;background;work;Do (/Did) you supervise other employees in your profession or position?;;float;;
job_supervise_number;job_supervise_number;work_schooling_selected;background;work;How many? Please include employees that you supervise (/supervised) through othe;;float;;
origin;origin;background_selected;background;individual;;;category;;
division_food;division_food;family_selected;background;Intra-hh;How is the household work divided between you and your partner? - preparing food;;category;;
division_laundry;division_laundry;family_selected;background;Intra-hh;How is the household work divided between you and your partner? - laundry;;category;;
division_cleaning;division_cleaning;family_selected;background;Intra-hh;How is the household work divided between you and your partner? - house cleaning;;category;;
division_chores;division_chores;family_selected;background;Intra-hh;How is the household work divided between you and your partner? - odd jobs in an;;category;;
division_finances;division_finances;family_selected;background;Intra-hh;How is the household work divided between you and your partner? - financial admi;;category;;
division_groceries;division_groceries;family_selected;background;Intra-hh;How is the household work divided between you and your partner? - grocery shoppi;;category;;
raising_playing;raising_playing;family_selected;background;childcare;Distribution of playing childcare;;category;;
raising_outings;raising_outings;family_selected;background;childcare;Distribution outings childcare;;category;;
raising_behaviour;raising_behaviour;family_selected;background;childcare;Distribution behaviour childcare;;category;;
raising_logistic;raising_logistic;family_selected;background;childcare;Distribution logistics childcare;;category;;
childcare_young_days;childcare_young_days;family_selected;background;childcare;How many part days do you make use of professional childcare?;;float;;
childcare_young_hours;childcare_young_hours;family_selected;background;childcare;How many hours a week do you make use of professional childcare? ;;float;;
risky_financial_assets;risky_financial_assets;assets_selected;background;financial_situation;Total value of risky financial assets;;float;;
total_financial_assets;total_financial_assets;assets_selected;background;financial_situation;Total value of total financial assets;;float;;
mortgage;mortgage;assets_selected;background;financial_situation;;;float;;
wealth_excl_housing;wealth_excl_housing;assets_selected;background;financial_situation;;;float;;
real_estate;real_estate;assets_selected;background;financial_situation;;;float;;
net_wages;net_wages;income_selected;background;financial_situation;Amount of net wages;;float;;
gross_wages;gross_wages;income_selected;background;financial_situation;;;float;;
optimism;optimism;personality_selected;background;personality;;;float;;
pessimism;pessimism;personality_selected;background;personality;;;float;;
extraversion;extraversion;personality_selected;background;personality;;;float;;
agreeableness;agreeableness;personality_selected;background;personality;;;float;;
conscientiousness;conscientiousness;personality_selected;background;personality;;;float;;
neuroticism;neuroticism;personality_selected;background;personality;;;float;;
openness;openness;personality_selected;background;personality;;;float;;
social_desirability;social_desirability;personality_selected;background;personality;;;float;;
fin_numeracy;fin_numeracy;ambiguous_beliefs_selected;background;numeracy;Financial Numeracy;;float;;
prob_numeracy;prob_numeracy;ambiguous_beliefs_selected;background;numeracy;Probabilistic Numeracy;;float;;
basic_numeracy;basic_numeracy;pref_numeracy_selected;background;numeracy;Basic Numeracy;;float;;
risk_aversion_index;risk_aversion_index;pref_numeracy_selected;background;preferences;Risk Aversion (qualitative and quantitative component);;float;;
wealth_hh;;;;;Household wealth;;float;;
wealth_hh_eqv;;;;;Equivalised household wealth;;float;;
net_income_hh_eqv;;;;;Equivalised net household income;;float;;
total_financial_assets_hh;;;background;financial_situation;Total value of total financial assets hh;;float;;
total_financial_assets_hh_eqv;;;background;financial_situation;Total value of total financial assets hh equivalised;;float;;
risky_financial_assets_hh;;;background;financial_situation;Risky value of total financial assets hh;;float;;
risky_financial_assets_hh_eqv;;;background;financial_situation;Risky value of total financial assets hh equivalised;;float;;
home_price_hh;;;background;housing;Home Price hh;;float;;
home_price_hh_eqv;;;background;housing;Home Price hh  equivalised;;float;;
home_remaining_mortgage_hh;;;background;housing;Remaining Mortgage on primary home hh;;float;;
home_remaining_mortgage_hh_eqv;;;background;housing;Remaining Mortgage on primary home hh equivalised;;float;;
age_youngest_child;;;background;background;Age of the youngest child in the household;;float;;
age_group;;;background;individual;Age in 3 broad groups ;;category;;TRUE
income_group;;;background;individual;Income in 3 broad groups ;;category;;TRUE
income_hh_group;;;background;individual;Equivalised household income in 3 broad groups ;;category;;TRUE
