;new_name;labels;lx15a_1.0p_EN.dta
69;reason_not_saving_for_pension;Why do you not save for this?;lx15a070
70;reason_not_saving_o;Why then do you not save for this?;lx15a071
71;savesd_for_pension_before_retir;Did you save (before you retired) for (a supplement to) your pension?;lx15a072
72;reason_not_saving_before_retir;Why did you not save for this?;lx15a073
73;reason_not_saving_bf_retir_o;Why then did you not save for this?;lx15a074
74;wld_better_if_saved_bf_ret;Do you think now that it would have been better if you had saved for (a suppleme;lx15a075
75;miss_additional_savings;Do you now miss a (supplement to your) pension or additional savings?;lx15a076
76;reason_miss_savings;Why do you miss this?;lx15a077
77;questionnaire_difficult;Was it difficult to answer the questions?;lx15a078
78;questionnaire_clear;Were the questions sufficiently clear?;lx15a079
79;questionnaire_thinking;Did the questionnaire get you thinking about things?;lx15a080
80;questionnaire_interesting;Was it an interesting subject?;lx15a081
81;questionnaire_enjoy;Did you enjoy answering the questions?;lx15a082
82;start_date;Starting date questionnaire;lx15a083
83;start_time;Starting time questionnaire;lx15a084
84;end_date;End date questionnaire;lx15a085
85;end_time;End time questionnaire;lx15a086
86;duration;Duration in seconds;lx15a087
87;date_fieldwork;Year and month of the field work period;lx15a_m
88;personal_id;Number of the household member encrypted;nomem_encr
