new_name;labels;ci20m_EN_1.0p.dta;ci19l_EN_1.0p.dta;ci18k_EN_1.0p.dta;ci17j_EN_1.0p.dta;ci16i_EN_1.0p.dta;ci15h_EN_1.0p.dta;ci14g_1.0p_EN.dta;ci13f_1.1p_EN.dta;ci13f_1.0p_EN.dta;ci12e_1.0p_EN.dta;ci11d_EN_1.0p.dta;ci10c_EN_1.0p.dta;ci09b_EN_1.1p.dta;ci08a_1.0p_EN.dta;type;categories_english;ordered
gross_wages_categ;Can you indicate, then, to what category your total gross wages belonged in 2015;ci20m373;ci19l373;ci18k011;ci17j011;ci16i011;ci15h011;ci14g011;ci13f011;ci13f011;ci12e011;ci11d011;ci10c011;ci09b011;ci08a011;category;;
net_wages;Can you indicate the net amount of wages that you received in 2015 at employer 1;;;ci18k012;ci17j012;ci16i012;ci15h012;ci14g012;ci13f012;ci13f012;ci12e012;ci11d012;ci10c012;ci09b012;ci08a012;int;;
src_wage_ans_taxform;What source did you use to complete the details concerning your gross salary at;;;ci18k013;ci17j013;ci16i013;ci15h013;ci14g013;ci13f013;ci13f013;ci12e013;ci11d013;ci10c013;ci09b013;ci08a013;bool;;
src_wage_ans_empl_taxstatement;What source did you use to complete the details concerning your gross salary at;;;ci18k014;ci17j014;ci16i014;ci15h014;ci14g014;ci13f014;ci13f014;ci12e014;ci11d014;ci10c014;ci09b014;ci08a014;bool;;
src_wage_ans_salary_slip;What source did you use to complete the details concerning your gross salary at;;;ci18k015;ci17j015;ci16i015;ci15h015;ci14g015;ci13f015;ci13f015;ci12e015;ci11d015;ci10c015;ci09b015;ci08a015;bool;;
src_wage_ans_other;What source did you use to complete the details concerning your gross salary at;;;ci18k016;ci17j016;ci16i016;ci15h016;ci14g016;ci13f016;ci13f016;ci12e016;ci11d016;ci10c016;ci09b016;ci08a016;bool;;
src_wage_ans_none;What source did you use to complete the details concerning your gross salary at;;;ci18k017;ci17j017;ci16i017;ci15h017;ci14g017;ci13f017;ci13f017;ci12e017;ci11d017;ci10c017;ci09b017;ci08a017;bool;;
src_wage_ans_other_specify;What source do you mean with other?;;;ci18k018;ci17j018;ci16i018;ci15h018;ci14g018;ci13f018;ci13f018;ci12e018;ci11d018;ci10c018;ci09b018;ci08a018;object;;
sec_empl_gross_wages;How much were your gross wages in total in 2015 at the employer at which you ear;;;ci18k019;ci17j019;ci16i019;ci15h019;ci14g019;ci13f019;ci13f019;ci12e019;ci11d019;ci10c019;ci09b019;ci08a019;int;;
sec_empl_gross_wages_categ;Can you indicate, then, to what category your total gross wages belonged in 2015;;;ci18k020;ci17j020;ci16i020;ci15h020;ci14g020;ci13f020;ci13f020;ci12e020;ci11d020;ci10c020;ci09b020;ci08a020;category;;
sec_empl_net_wages;Can you indicate the net amount of wages that you received in 2015 at employer 2;;;ci18k021;ci17j021;ci16i021;ci15h021;ci14g021;ci13f021;ci13f021;ci12e021;ci11d021;ci10c021;ci09b021;ci08a021;int;;
sec_empl_src_wage_ans_taxform;What source did you use to complete the details concerning your gross salary at;;;ci18k022;ci17j022;ci16i022;ci15h022;ci14g022;ci13f022;ci13f022;ci12e022;ci11d022;ci10c022;ci09b022;ci08a022;bool;;
sec_empl_src_wage_ans_empl_tax;What source did you use to complete the details concerning your gross salary at;;;ci18k023;ci17j023;ci16i023;ci15h023;ci14g023;ci13f023;ci13f023;ci12e023;ci11d023;ci10c023;ci09b023;ci08a023;bool;;
sec_empl_src_wage_ans_salary;What source did you use to complete the details concerning your gross salary at;;;ci18k024;ci17j024;ci16i024;ci15h024;ci14g024;ci13f024;ci13f024;ci12e024;ci11d024;ci10c024;ci09b024;ci08a024;bool;;
sec_empl_src_wage_ans_other;What source did you use to complete the details concerning your gross salary at;;;ci18k025;ci17j025;ci16i025;ci15h025;ci14g025;ci13f025;ci13f025;ci12e025;ci11d025;ci10c025;ci09b025;ci08a025;bool;;
sec_empl_src_wage_ans_none;What source did you use to complete the details concerning your gross salary at;;;ci18k026;ci17j026;ci16i026;ci15h026;ci14g026;ci13f026;ci13f026;ci12e026;ci11d026;ci10c026;ci09b026;ci08a026;bool;;
sec_empl_src_wage_ans_other_s;What source do you mean with 'other'?;;;ci18k027;ci17j027;ci16i027;ci15h027;ci14g027;ci13f027;ci13f027;ci12e027;ci11d027;ci10c027;ci09b027;ci08a027;object;;
other_empl_gross_wages;How much were your gross wages in total in 2015 at the other employers? This con;;;ci18k028;ci17j028;ci16i028;ci15h028;ci14g028;ci13f028;ci13f028;ci12e028;ci11d028;ci10c028;ci09b028;ci08a028;int;;
other_empl_gross_wages_categ;Can you indicate, then, to what category your total gross wages belonged in 2015;;;ci18k029;ci17j029;ci16i029;ci15h029;ci14g029;ci13f029;ci13f029;ci12e029;ci11d029;ci10c029;ci09b029;ci08a029;category;;
other_empl_net_wages;Can you indicate the net amount of wages that you received in 2015 at the other;;;ci18k030;ci17j030;ci16i030;ci15h030;ci14g030;ci13f030;ci13f030;ci12e030;ci11d030;ci10c030;ci09b030;ci08a030;int;;
other_empl_src_wage_ans_taxform;What source did you use to complete the details concerning your gross salary at;;;ci18k031;ci17j031;ci16i031;ci15h031;ci14g031;ci13f031;ci13f031;ci12e031;ci11d031;ci10c031;ci09b031;ci08a031;bool;;
other_empl_src_wage_ans_tax;What source did you use to complete the details concerning your gross salary at;;;ci18k032;ci17j032;ci16i032;ci15h032;ci14g032;ci13f032;ci13f032;ci12e032;ci11d032;ci10c032;ci09b032;ci08a032;bool;;
other_empl_src_wage_ans_salary;What source did you use to complete the details concerning your gross salary at;;;ci18k033;ci17j033;ci16i033;ci15h033;ci14g033;ci13f033;ci13f033;ci12e033;ci11d033;ci10c033;ci09b033;ci08a033;bool;;
other_empl_src_wage_ans_other;What source did you use to complete the details concerning your gross salary at;;;ci18k034;ci17j034;ci16i034;ci15h034;ci14g034;ci13f034;ci13f034;ci12e034;ci11d034;ci10c034;ci09b034;ci08a034;bool;;
other_empl_src_wage_ans_none;What source did you use to complete the details concerning your gross salary at;;;ci18k035;ci17j035;ci16i035;ci15h035;ci14g035;ci13f035;ci13f035;ci12e035;ci11d035;ci10c035;ci09b035;ci08a035;bool;;
other_empl_src_wage_ans_other_s;What source do you mean with 'other'?;;;ci18k036;ci17j036;ci16i036;ci15h036;ci14g036;ci13f036;ci13f036;ci12e036;ci11d036;ci10c036;ci09b036;ci08a036;object;;
work_sit_is_entrep_or_freel;Which work situation as described below in 2015 applied to you (or for a part of;ci20m037;ci19l037;ci18k037;ci17j037;ci16i037;ci15h037;ci14g037;ci13f037;ci13f037;ci12e037;ci11d037;ci10c037;ci09b037;ci08a037;bool;;
work_sit_is_entrep_or_freeljob;Which work situation as described below in 2015 applied to you (or for a part of;ci20m038;ci19l038;ci18k038;ci17j038;ci16i038;ci15h038;ci14g038;ci13f038;ci13f038;ci12e038;ci11d038;ci10c038;ci09b038;ci08a038;bool;;
work_sit_is_self_empl_onemanb;Which work situation as described below in 2015 applied to you (or for a part of;ci20m039;ci19l039;ci18k039;ci17j039;ci16i039;ci15h039;ci14g039;ci13f039;ci13f039;ci12e039;ci11d039;ci10c039;ci09b039;ci08a039;bool;;
work_sit_is_company_owner;Which work situation as described below in 2015 applied to you (or for a part of;ci20m040;ci19l040;ci18k040;ci17j040;ci16i040;ci15h040;ci14g040;ci13f040;ci13f040;ci12e040;ci11d040;ci10c040;ci09b040;ci08a040;bool;;
work_sit_is_in_partnership;Which work situation as described below in 2015 applied to you (or for a part of;ci20m041;ci19l041;ci18k041;ci17j041;ci16i041;ci15h041;ci14g041;ci13f041;ci13f041;ci12e041;ci11d041;ci10c041;ci09b041;ci08a041;bool;;
work_sit_is_partner_partnership;Which work situation as described below in 2015 applied to you (or for a part of;ci20m042;ci19l042;ci18k042;ci17j042;ci16i042;ci15h042;ci14g042;ci13f042;ci13f042;ci12e042;ci11d042;ci10c042;ci09b042;ci08a042;bool;;
work_sit_lim_liab_lim_partners;Which work situation as described below in 2015 applied to you (or for a part of;ci20m043;ci19l043;ci18k043;ci17j043;ci16i043;ci15h043;ci14g043;ci13f043;ci13f043;ci12e043;ci11d043;ci10c043;ci09b043;ci08a043;bool;;
work_sit_gen_rev_from_ent;Which work situation as described below in 2015 applied to you (or for a part of;ci20m044;ci19l044;ci18k044;ci17j044;ci16i044;ci15h044;ci14g044;ci13f044;ci13f044;ci12e044;ci11d044;ci10c044;ci09b044;ci08a044;bool;;
work_sit_none;Which work situation as described below in 2015 applied to you (or for a part of;ci20m045;ci19l045;ci18k045;ci17j045;ci16i045;ci15h045;ci14g045;ci13f045;ci13f045;ci12e045;ci11d045;ci10c045;ci09b045;ci08a045;bool;;
knows_fiscal_profit;Do you already know what the fiscal profit (or possible loss) is over 2015?;ci20m046;ci19l046;ci18k046;ci17j046;ci16i046;ci15h046;ci14g046;ci13f046;ci13f046;ci12e046;ci11d046;ci10c046;ci09b046;ci08a046;bool;;
fiscal_profit_sign;Is the fiscal profit (or gross income minus entrepreneur or freelancer expenses);ci20m047;ci19l047;ci18k047;ci17j047;ci16i047;ci15h047;ci14g047;ci13f047;ci13f047;ci12e047;ci11d047;ci10c047;ci09b047;ci08a047;category;negative|positive;True
fiscal_profit_expected_sign;Do you expect the fiscal profit (or the gross income minus entrepreneur or freel;ci20m048;ci19l048;ci18k048;ci17j048;ci16i048;ci15h048;ci14g048;ci13f048;ci13f048;ci12e048;ci11d048;ci10c048;ci09b048;ci08a048;category;negative|positive;True
fiscal_profit_amt;How much was the fiscal profit (or the gross income minus entrepreneur or freela;ci20m049;ci19l049;ci18k049;ci17j049;ci16i049;ci15h049;ci14g049;ci13f049;ci13f049;ci12e049;ci11d049;ci10c049;ci09b049;ci08a049;int;;
fiscal_profit_estim_amt;Can you give an estimate of the fiscal profit (or the gross income minus entrepr;ci20m050;ci19l050;ci18k050;ci17j050;ci16i050;ci15h050;ci14g050;ci13f050;ci13f050;ci12e050;ci11d050;ci10c050;ci09b050;ci08a050;int;;
fiscal_profit_estim_amt_categ;Can you indicate, then, to what category your fiscal profit or loss (or the gros;ci20m051;ci19l051;ci18k051;ci17j051;ci16i051;ci15h051;ci14g051;ci13f051;ci13f051;ci12e051;ci11d051;ci10c051;ci09b051;ci08a051;category;;
src_fiscal_profit_ans_tax_form;What source did you use to enter the details concerning the fiscal profit (or th;ci20m052;ci19l052;ci18k052;ci17j052;ci16i052;ci15h052;ci14g052;ci13f052;ci13f052;ci12e052;ci11d052;ci10c052;ci09b052;ci08a052;bool;;
src_fiscal_profit_ans_other;What source did you use to enter the details concerning the fiscal profit (or th;ci20m053;ci19l053;ci18k053;ci17j053;ci16i053;ci15h053;ci14g053;ci13f053;ci13f053;ci12e053;ci11d053;ci10c053;ci09b053;ci08a053;bool;;
src_fiscal_profit_ans_none;What source did you use to enter the details concerning the fiscal profit (or th;ci20m054;ci19l054;ci18k054;ci17j054;ci16i054;ci15h054;ci14g054;ci13f054;ci13f054;ci12e054;ci11d054;ci10c054;ci09b054;ci08a054;bool;;
src_fiscal_profit_ans_none_s;What source do you mean with 'other'?;ci20m055;ci19l055;ci18k055;ci17j055;ci16i055;ci15h055;ci14g055;ci13f055;ci13f055;ci12e055;ci11d055;ci10c055;ci09b055;ci08a055;object;;
entitled_to_meewerkaftrek;Were you entitled to meewerkaftrek (tax deduction for partners employed in one's;;;;;;;;;;;ci11d056;ci10c056;ci09b056;ci08a056;bool;;
meewerkaftrek_amt_for_partner;How much was the meewerkaftrek for your spouse or partner in 2010?;;;;;;;;;;;ci11d057;ci10c057;ci09b057;ci08a057;int;;
meewerkaftrek_amt_partner_appr;How much will the meewerkaftrek for your spouse or partner approximately be in 2;;;;;;;;;;;ci11d058;ci10c058;ci09b058;ci08a058;int;;
prev_year_self_employed;Did you (also) work in self-employment in 2014?;ci20m059;ci19l059;ci18k059;ci17j059;ci16i059;ci15h059;ci14g059;ci13f059;ci13f059;ci12e059;ci11d059;ci10c059;ci09b059;ci08a059;bool;;
prev_year_profit_sign;Was the fiscal profit over 2014 positive or negative?;ci20m060;ci19l060;ci18k060;ci17j060;ci16i060;ci15h060;ci14g060;ci13f060;ci13f060;ci12e060;ci11d060;ci10c060;ci09b060;ci08a060;category;negative|positive;True
prev_year_profit_amt;How much was the (estimated) fiscal profit over 2014?;ci20m061;ci19l061;ci18k061;ci17j061;ci16i061;ci15h061;ci14g061;ci13f061;ci13f061;ci12e061;ci11d061;ci10c061;ci09b061;ci08a061;int;;
prev_year_profit_amt_categ;Can you indicate, then, to what category your fiscal profit or loss belonged (ap;ci20m062;ci19l062;ci18k062;ci17j062;ci16i062;ci15h062;ci14g062;ci13f062;ci13f062;ci12e062;ci11d062;ci10c062;ci09b062;ci08a062;category;;
prev_year_entit_meewerkaftrek;Were you entitled to a meewerkaftrek for spouse or partner in 2009?;;;;;;;;;;;ci11d063;ci10c063;ci09b063;ci08a063;bool;;
prev_year_meewerkaftr_part;How much was the meewerkaftrek for your spouse or partner in 2009?;;;;;;;;;;;ci11d064;ci10c064;ci09b064;ci08a064;int;;
is_on_early_retirement;Were you on early retirement in 2015 or for a part of 2015?;ci20m065;ci19l065;ci18k065;ci17j065;ci16i065;ci15h065;ci14g065;ci13f065;ci13f065;ci12e065;ci11d065;ci10c065;ci09b065;ci08a065;bool;;
retirement_gets_early_ret;Which of the old age pensions or life annuities listed below did you receive in;ci20m363;ci19l363;ci18k363;ci17j363;ci16i363;ci15h363;ci14g363;ci13f066;ci13f066;ci12e066;ci11d066;ci10c066;ci09b066;ci08a066;bool;;
retirement_gets_state_pension;Which of the old age pensions or life annuities listed below did you receive in;ci20m067;ci19l067;ci18k067;ci17j067;ci16i067;ci15h067;ci14g067;ci13f067;ci13f067;ci12e067;ci11d067;ci10c067;ci09b067;ci08a067;bool;;
retirement_gets_other_pension;Which of the old age pensions or life annuities listed below did you receive in;ci20m068;ci19l068;ci18k068;ci17j068;ci16i068;ci15h068;ci14g068;ci13f068;ci13f068;ci12e068;ci11d068;ci10c068;ci09b068;ci08a068;bool;;
retirement_gets_life_annuity;Which of the old age pensions or life annuities listed below did you receive in;ci20m069;ci19l069;ci18k069;ci17j069;ci16i069;ci15h069;ci14g069;ci13f069;ci13f069;ci12e069;ci11d069;ci10c069;ci09b069;ci08a069;bool;;
retirement_gets_none;Which of the old age pensions or life annuities listed below did you receive in;ci20m070;ci19l070;ci18k070;ci17j070;ci16i070;ci15h070;ci14g070;ci13f070;ci13f070;ci12e070;ci11d070;ci10c070;ci09b070;ci08a070;bool;;
get_state_pension_direct_joint;Do you receive the state pension (AOW) separately (through the Social Insurance;;;;;;;;ci13f071;ci13f071;ci12e071;ci11d071;ci10c071;ci09b071;ci08a071;category;separately|together by pension fund;False
early_retirement_gross_amt;How much is the gross amount that you received as VUT (early retirement) in 2012;ci20m364;ci19l364;ci18k364;ci17j364;ci16i364;ci15h364;ci14g364;ci13f072;ci13f072;ci12e072;ci11d072;ci10c072;ci09b072;ci08a072;int;;
early_retirement_gross_cat;Can you indicate, then, to what category the gross amount of VUT belongs that yo;ci20m365;ci19l365;ci18k365;ci17j365;ci16i365;ci15h365;ci14g365;ci13f073;ci13f073;ci12e073;ci11d073;ci10c073;ci09b073;ci08a073;category;;
early_retirement_net_amt;How much is the net amount that you received as VUT (early retirement) in 2012?;;;ci18k366;ci17j366;ci16i366;ci15h366;ci14g366;ci13f074;ci13f074;ci12e074;ci11d074;ci10c074;ci09b074;ci08a074;int;;
state_pension_gross_amt;How much is the gross amount that you received as state pension (AOW) in 2015?;ci20m076;ci19l076;ci18k076;ci17j076;ci16i076;ci15h076;ci14g076;ci13f076;ci13f076;ci12e076;ci11d076;ci10c076;ci09b076;ci08a076;int;;
state_pension_gross_amt_categ;Can you indicate, then, to what category the gross amount of AOW belongs that yo;ci20m367;ci19l367;ci18k367;ci17j367;ci16i367;ci15h367;ci14g367;ci13f077;ci13f077;ci12e077;ci11d077;ci10c077;ci09b077;ci08a077;category;;
state_pension_net_amt;How much is the net amount that you received as AOW in 2015?;;;ci18k078;ci17j078;ci16i078;ci15h078;ci14g078;ci13f078;ci13f078;ci12e078;ci11d078;ci10c078;ci09b078;ci08a078;int;;
other_pension_gross_amt;How much is the gross amount that you received in 2015 as other pensions?;ci20m080;ci19l080;ci18k080;ci17j080;ci16i080;ci15h080;ci14g080;ci13f080;ci13f080;ci12e080;ci11d080;ci10c080;ci09b080;ci08a080;int;;
other_pension_gross_amt_categ;Can you indicate, then, to what category the gross amount belongs that you recei;ci20m081;ci19l081;ci18k081;ci17j081;ci16i081;ci15h081;ci14g081;ci13f081;ci13f081;ci12e081;ci11d081;ci10c081;ci09b081;ci08a081;category;;
other_pension_net_amt;How much is the net amount that you received in 2015 as other pensions?;;;ci18k082;ci17j082;ci16i082;ci15h082;ci14g082;ci13f082;ci13f082;ci12e082;ci11d082;ci10c082;ci09b082;ci08a082;int;;
life_annuity_gross_amt;How much is the gross amount that you received as life annuities in 2015?;ci20m084;ci19l084;ci18k084;ci17j084;ci16i084;ci15h084;ci14g084;ci13f084;ci13f084;ci12e084;ci11d084;ci10c084;ci09b084;ci08a084;int;;
life_annuity_gross_amt_categ;Can you indicate, then, to what category the gross amount of life annuity belong;;ci19l085;ci18k085;ci17j085;ci16i085;ci15h085;ci14g085;ci13f085;ci13f085;ci12e085;ci11d085;ci10c085;ci09b085;ci08a085;category;;
life_annuity_net_amt;How much is the net amount that you received as life annuities in 2015?;;;ci18k086;ci17j086;ci16i086;ci15h086;ci14g086;ci13f086;ci13f086;ci12e086;ci11d086;ci10c086;ci09b086;ci08a086;int;;
benefit_received_sickness;Did you receive one or more of the following benefits or allowances in 2015? - S;ci20m087;ci19l087;ci18k087;ci17j087;ci16i087;ci15h087;ci14g087;ci13f087;ci13f087;ci12e087;ci11d087;ci10c087;ci09b087;ci08a087;bool;;
benefit_received_ww;Did you receive one or more of the following benefits or allowances in 2015? - U;ci20m374;ci19l374;ci18k088;ci17j088;ci16i088;ci15h088;ci14g088;ci13f088;ci13f088;ci12e088;ci11d088;ci10c088;ci09b088;ci08a088;bool;;
benefit_received_wachtg;Did you receive one or more of the following benefits or allowances in 2015? - h;;;ci18k089;ci17j089;ci16i089;ci15h089;ci14g089;ci13f089;ci13f089;ci12e089;ci11d089;ci10c089;ci09b089;ci08a089;bool;;
benefit_received_anw;Did you receive one or more of the following benefits or allowances in 2015? - G;ci20m090;ci19l090;ci18k090;ci17j090;ci16i090;ci15h090;ci14g090;ci13f090;ci13f090;ci12e090;ci11d090;ci10c090;ci09b090;ci08a090;bool;;
benefit_received_surv_relatives;Did you receive one or more of the following benefits or allowances in 2015? - S;ci20m091;ci19l091;ci18k091;ci17j091;ci16i091;ci15h091;ci14g091;ci13f091;ci13f091;ci12e091;ci11d091;ci10c091;ci09b091;ci08a091;bool;;
benefit_received_orphan_pension;Did you receive one or more of the following benefits or allowances in 2015? - o;ci20m092;ci19l092;ci18k092;ci17j092;ci16i092;ci15h092;ci14g092;ci13f092;ci13f092;ci12e092;ci11d092;ci10c092;ci09b092;ci08a092;bool;;
benefit_received_wwb;Did you receive one or more of the following benefits or allowances in 2009? - W;ci20m341;ci19l341;ci18k341;ci17j341;ci16i341;ci15h341;ci14g341;ci13f341;ci13f341;ci12e341;ci11d341;ci10c093;ci09b093;ci08a093;bool;;
benefit_received_self_employed;Did you receive one or more of the following benefits or allowances in 2015? - S;ci20m094;ci19l094;ci18k094;ci17j094;ci16i094;ci15h094;ci14g094;ci13f094;ci13f094;ci12e094;ci11d094;ci10c094;ci09b094;ci08a094;bool;;
benefit_received_ioaw;Did you receive one or more of the following benefits or allowances in 2015? - A;ci20m095;ci19l095;ci18k095;ci17j095;ci16i095;ci15h095;ci14g095;ci13f095;ci13f095;ci12e095;ci11d095;ci10c095;ci09b095;ci08a095;bool;;
benefit_received_iva;Did you receive one or more of the following benefits or allowances in 2015? - W;ci20m096;ci19l096;ci18k096;ci17j096;ci16i096;ci15h096;ci14g096;ci13f096;ci13f096;ci12e096;ci11d096;ci10c096;ci09b096;ci08a096;bool;;
benefit_received_wga;Did you receive one or more of the following benefits or allowances in 2011? - R;;;;;;;;;;ci12e097;ci11d097;ci10c097;ci09b097;ci08a097;bool;;
benefit_received_invalidity;Did you receive one or more of the following benefits or allowances in 2015? - i;ci20m098;ci19l098;ci18k098;ci17j098;ci16i098;ci15h098;ci14g098;ci13f098;ci13f098;ci12e098;ci11d098;ci10c098;ci09b098;ci08a098;bool;;
benefit_received_akw;Did you receive one or more of the following benefits or allowances in 2015? - A;ci20m099;ci19l099;ci18k099;ci17j099;ci16i099;ci15h099;ci14g099;ci13f099;ci13f099;ci12e099;ci11d099;ci10c099;ci09b099;ci08a099;bool;;
benefit_received_healthcare;Did you receive one or more of the following benefits or allowances in 2015? - h;ci20m100;ci19l100;ci18k100;ci17j100;ci16i100;ci15h100;ci14g100;ci13f100;ci13f100;ci12e100;ci11d100;ci10c100;ci09b100;ci08a100;bool;;
benefit_received_none;Did you receive one or more of the following benefits or allowances in 2015? - n;ci20m101;ci19l101;ci18k101;ci17j101;ci16i101;ci15h101;ci14g101;ci13f101;ci13f101;ci12e101;ci11d101;ci10c101;ci09b101;ci08a101;bool;;
benefit_sickness_gross_amt;How much is the total gross amount that you received in 2015 through the Ziektew;ci20m102;ci19l102;ci18k102;ci17j102;ci16i102;ci15h102;ci14g102;ci13f102;ci13f102;ci12e102;ci11d102;ci10c102;ci09b102;ci08a102;int;;
benefit_sickness_gross_cat;Can you indicate, then, to what category the gross amount belongs that you recei;ci20m103;ci19l103;ci18k103;ci17j103;ci16i103;ci15h103;ci14g103;ci13f103;ci13f103;ci12e103;ci11d103;ci10c103;ci09b103;ci08a103;category;;
benefit_sickness_net_amt;How much is the net amount that you received through the Ziektewet in 2015?;;;ci18k104;ci17j104;ci16i104;ci15h104;ci14g104;ci13f104;ci13f104;ci12e104;ci11d104;ci10c104;ci09b104;ci08a104;int;;
benefit_ww_gross_amt;How much is the total gross amount that you received in 2015 as WW or vervolguit;ci20m375;ci19l375;ci18k105;ci17j105;ci16i105;ci15h105;ci14g105;ci13f105;ci13f105;ci12e105;ci11d105;ci10c105;ci09b105;ci08a105;int;;
benefit_ww_gross_amt_categ;Can you indicate, then, to what category the gross amount belongs that you recei;ci20m376;ci19l376;ci18k106;ci17j106;ci16i106;ci15h106;ci14g106;ci13f106;ci13f106;ci12e106;ci11d106;ci10c106;ci09b106;ci08a106;category;;
benefit_ww_net_amt;How much is the net amount that you received as WW or vervolguitkering WW in 201;;;ci18k107;ci17j107;ci16i107;ci15h107;ci14g107;ci13f107;ci13f107;ci12e107;ci11d107;ci10c107;ci09b107;ci08a107;int;;
benefit_watchtg_gross_amt;How much is the total gross amount that you received in 2015 as wachtgeld (prefe;;;ci18k108;ci17j108;ci16i108;ci15h108;ci14g108;ci13f108;ci13f108;ci12e108;ci11d108;ci10c108;ci09b108;ci08a108;int;;
benefit_wachtg_gross_amt_categ;Can you indicate, then, to what category the gross amount belongs that you recei;;;ci18k109;ci17j109;ci16i109;ci15h109;ci14g109;ci13f109;ci13f109;ci12e109;ci11d109;ci10c109;ci09b109;ci08a109;category;;
benefit_watchtg_net_amt;How much is the net amount that you received in 2015 as wachtgeld?;;;ci18k110;ci17j110;ci16i110;ci15h110;ci14g110;ci13f110;ci13f110;ci12e110;ci11d110;ci10c110;ci09b110;ci08a110;int;;
benefit_anw_gross_amt;How much is the total gross amount that you received in 2015 through the ANW  (p;ci20m111;ci19l111;ci18k111;ci17j111;ci16i111;ci15h111;ci14g111;ci13f111;ci13f111;ci12e111;ci11d111;ci10c111;ci09b111;ci08a111;int;;
benefit_anw_gross_amt_categ;Can you indicate, then, to what category the gross amount belongs that you recei;ci20m368;ci19l368;ci18k368;ci17j368;ci16i368;ci15h368;ci14g368;ci13f112;ci13f112;ci12e112;ci11d112;ci10c112;ci09b112;ci08a112;category;;
benefit_anw_net_amt;How much is the net amount that you received in 2015 through the ANW?;;;ci18k113;ci17j113;ci16i113;ci15h113;ci14g113;ci13f113;ci13f113;ci12e113;ci11d113;ci10c113;ci09b113;ci08a113;int;;
benefit_surv_rel_gross_amt;How much is the total gross amount that you received in 2015 as nabestaandenpens;ci20m114;ci19l114;ci18k114;ci17j114;ci16i114;ci15h114;ci14g114;ci13f114;ci13f114;ci12e114;ci11d114;ci10c114;ci09b114;ci08a114;int;;
benefit_surv_rel_gross_cat;Can you indicate, then, to what category the gross amount belongs that you recei;ci20m115;ci19l115;ci18k115;ci17j115;ci16i115;ci15h115;ci14g115;ci13f115;ci13f115;ci12e115;ci11d115;ci10c115;ci09b115;ci08a115;category;;
benefit_surv_rel_net_amt;How much is the net amount that you received in 2015 as nabestaandenpensioen (th;;;ci18k116;ci17j116;ci16i116;ci15h116;ci14g116;ci13f116;ci13f116;ci12e116;ci11d116;ci10c116;ci09b116;ci08a116;int;;
