new_name;labels;L_WorkSchooling_wave13_SectorProfHours_03p.dta;cw19l_EN_1.1p.dta;cw18k_EN_1.0p.dta;cw17j_EN_1.0p.dta;cw16i_EN_1.0p.dta;cw15h_EN_1.0p.dta;cw14g_EN_1.0p.dta;cw13f_EN_1.0p.dta;cw12e_EN_1.0p.dta;cw11d_EN_1.0p.dta;cw10c_EN_1.0p.dta;cw09b_EN_3.0p.dta;cw08a_1.1p_EN.dta;type;categories_english;ordered
course1_hours2;How many hours per week do or did you spend (on average) on this program or cour;;;cw18k045;cw17j045;cw16i045;cw15h045;cw14g045;cw13f045;cw12e045;cw11d045;cw10c045;cw09b045;cw08a045;int;;
course1_complete;Did you complete the program or course?;;;cw18k046;cw17j046;cw16i046;cw15h046;cw14g046;cw13f046;cw12e046;cw11d046;cw10c046;cw09b046;cw08a046;category;yes, with diploma or certificate|yes, without diploma or certificate|no, I stopped prematurely|no, still following it;False
course1_reason;What was your main reason to start following this program or course?;;;cw18k047;cw17j047;cw16i047;cw15h047;cw14g047;cw13f047;cw12e047;cw11d047;cw10c047;cw09b047;cw08a047;category;;False
course1_reason_specified;What other reason do you mean?;;;cw18k048;cw17j048;cw16i048;cw15h048;cw14g048;cw13f048;cw12e048;cw11d048;cw10c048;cw09b048;cw08a048;object;;
course1_time;When do (or did) you follow this program or course?;;;cw18k049;cw17j049;cw16i049;cw15h049;cw14g049;cw13f049;cw12e049;cw11d049;cw10c049;cw09b049;cw08a049;category;in my leisure time|during working hours|partly during working hours, partly in my leisure time;False
course1_paid;Who pays (or paid) for the costs of the program or course?;;;cw18k050;cw17j050;cw16i050;cw15h050;cw14g050;cw13f050;cw12e050;cw11d050;cw10c050;cw09b050;cw08a050;category;;False
course1_costs;How are (or were) the costs of the program or course paid, then?;;;cw18k051;cw17j051;cw16i051;cw15h051;cw14g051;cw13f051;cw12e051;cw11d051;cw10c051;cw09b051;cw08a051;object;;
course1_own_costs;What is the amount of your contribution to the costs of this program or course?;;;cw18k052;cw17j052;cw16i052;cw15h052;cw14g052;cw13f052;cw12e052;cw11d052;cw10c052;cw09b052;cw08a052;int;;
course1_important;Please indicate on a scale from 0 to 10 how important this course is for your cu;;;cw18k053;cw17j053;cw16i053;cw15h053;cw14g053;cw13f053;cw12e053;cw11d053;cw10c053;cw09b053;cw08a053;category;0|1|2|3|4|5|6|7|8|9|10;True
course2_discipline;Can you provide an indication of the type, the discipline and, if applicable, th;;;cw18k054;cw17j054;cw16i054;cw15h054;cw14g054;cw13f054;cw12e054;cw11d054;cw10c054;cw09b054;cw08a054;object;;
course2_satisfaction;All things considered - can you indicate on a scale from 0 to 10 how satisfied y;;;cw18k055;cw17j055;cw16i055;cw15h055;cw14g055;cw13f055;cw12e055;cw11d055;cw10c055;cw09b055;cw08a055;category;0|1|2|3|4|5|6|7|8|9|10;True
course2_type;What kind of educational program or course is it?;;;cw18k056;cw17j056;cw16i056;cw15h056;cw14g056;cw13f056;cw12e056;cw11d056;cw10c056;cw09b056;cw08a056;category;day program|combination of working and learning|part-time program|(other) course;False
course2_place;Where do (or did) you follow this program or course?;;;cw18k057;cw17j057;cw16i057;cw15h057;cw14g057;cw13f057;cw12e057;cw11d057;cw10c057;cw09b057;cw08a057;category;;False
course2_place_specified;Where do (or did) you follow this program or course, then?;;;cw18k058;cw17j058;cw16i058;cw15h058;cw14g058;cw13f058;cw12e058;cw11d058;cw10c058;cw09b058;cw08a058;object;;
course2_duration1;What is the official duration of this program or course? - number of units per p;;;cw18k059;cw17j059;cw16i059;cw15h059;cw14g059;cw13f059;cw12e059;cw11d059;cw10c059;cw09b059;cw08a059;int;;
course2_duration2;What is the official duration of this program or course? - period;;;cw18k060;cw17j060;cw16i060;cw15h060;cw14g060;cw13f060;cw12e060;cw11d060;cw10c060;cw09b060;cw08a060;category;part-days|days|weeks|months|years;True
course2_hours1;How many hours do or did you spend in total on this program or course?;;;cw18k061;cw17j061;cw16i061;cw15h061;cw14g061;cw13f061;cw12e061;cw11d061;cw10c061;cw09b061;cw08a061;int;;
course2_hours2;How many hours per week do or did you spend (on average) on this program or cour;;;cw18k062;cw17j062;cw16i062;cw15h062;cw14g062;cw13f062;cw12e062;cw11d062;cw10c062;cw09b062;cw08a062;int;;
course2_complete;Did you complete the program or course?;;;cw18k063;cw17j063;cw16i063;cw15h063;cw14g063;cw13f063;cw12e063;cw11d063;cw10c063;cw09b063;cw08a063;category;yes, with diploma or certificate|yes, without diploma or certificate|no, I stopped prematurely|no, still following it;False
course2_reason;What was your main reason to start following this program or course?;;;cw18k064;cw17j064;cw16i064;cw15h064;cw14g064;cw13f064;cw12e064;cw11d064;cw10c064;cw09b064;cw08a064;category;;False
course2_reason_specified;What other reason do you mean?;;;cw18k065;cw17j065;cw16i065;cw15h065;cw14g065;cw13f065;cw12e065;cw11d065;cw10c065;cw09b065;cw08a065;object;;
course2_time;When do (or did) you follow this program or course?;;;cw18k066;cw17j066;cw16i066;cw15h066;cw14g066;cw13f066;cw12e066;cw11d066;cw10c066;cw09b066;cw08a066;category;in my leisure time|during working hours|partly during working hours, partly in my leisure time;False
course2_paid;Who pays (or paid) for the costs of the program or course?;;;cw18k067;cw17j067;cw16i067;cw15h067;cw14g067;cw13f067;cw12e067;cw11d067;cw10c067;cw09b067;cw08a067;category;;False
course2_costs;How are (or were) the costs of the program or course paid, then?;;;cw18k068;cw17j068;cw16i068;cw15h068;cw14g068;cw13f068;cw12e068;cw11d068;cw10c068;cw09b068;cw08a068;object;;
course2_own_costs;What is the amount of your contribution to the costs of this program or course?;;;cw18k069;cw17j069;cw16i069;cw15h069;cw14g069;cw13f069;cw12e069;cw11d069;cw10c069;cw09b069;cw08a069;int;;
course2_important;Please indicate on a scale from 0 to 10 how important this course is for your cu;;;cw18k070;cw17j070;cw16i070;cw15h070;cw14g070;cw13f070;cw12e070;cw11d070;cw10c070;cw09b070;cw08a070;category;0|1|2|3|4|5|6|7|8|9|10;True
course3_discipline;Can you provide an indication of the type, the discipline and, if applicable, th;;;cw18k071;cw17j071;cw16i071;cw15h071;cw14g071;cw13f071;cw12e071;cw11d071;cw10c071;cw09b071;cw08a071;object;;
course3_satisfaction;All things considered, can you indicate on a scale from 0 to 10 how satisfied yo;;;cw18k072;cw17j072;cw16i072;cw15h072;cw14g072;cw13f072;cw12e072;cw11d072;cw10c072;cw09b072;cw08a072;category;0|1|2|3|4|5|6|7|8|9|10;True
course3_type;What kind of educational program or course is it?;;;cw18k073;cw17j073;cw16i073;cw15h073;cw14g073;cw13f073;cw12e073;cw11d073;cw10c073;cw09b073;cw08a073;category;day program|combination of working and learning|part-time program|(other) course;False
course3_place;Where do (or did) you follow this program or course?;;;cw18k074;cw17j074;cw16i074;cw15h074;cw14g074;cw13f074;cw12e074;cw11d074;cw10c074;cw09b074;cw08a074;category;;False
course3_place_specified;Where do (or did) you follow this program or course, then?;;;cw18k075;cw17j075;cw16i075;cw15h075;cw14g075;cw13f075;cw12e075;cw11d075;cw10c075;cw09b075;cw08a075;object;;
course3_duration1;What is the official duration of this program or course? - number of units per p;;;cw18k076;cw17j076;cw16i076;cw15h076;cw14g076;cw13f076;cw12e076;cw11d076;cw10c076;cw09b076;cw08a076;int;;
course3_duration2;What is the official duration of this program or course? - period;;;cw18k077;cw17j077;cw16i077;cw15h077;cw14g077;cw13f077;cw12e077;cw11d077;cw10c077;cw09b077;cw08a077;category;part-days|days|weeks|months|years;True
course3_hours1;How many hours do or did you spend in total on this program or course?;;;cw18k078;cw17j078;cw16i078;cw15h078;cw14g078;cw13f078;cw12e078;cw11d078;cw10c078;cw09b078;cw08a078;int;;
course3_hours2;How many hours per week do or did you spend (on average) on this program or cour;;;cw18k079;cw17j079;cw16i079;cw15h079;cw14g079;cw13f079;cw12e079;cw11d079;cw10c079;cw09b079;cw08a079;int;;
course3_complete;Did you complete the program or course?;;;cw18k080;cw17j080;cw16i080;cw15h080;cw14g080;cw13f080;cw12e080;cw11d080;cw10c080;cw09b080;cw08a080;category;yes, with diploma or certificate|yes, without diploma or certificate|no, I stopped prematurely|no, still following it;False
course3_reason;What was your main reason to start following this program or course?;;;cw18k081;cw17j081;cw16i081;cw15h081;cw14g081;cw13f081;cw12e081;cw11d081;cw10c081;cw09b081;cw08a081;category;;False
course3_reason_specified;What other reason do you mean?;;;cw18k082;cw17j082;cw16i082;cw15h082;cw14g082;cw13f082;cw12e082;cw11d082;cw10c082;cw09b082;cw08a082;object;;
course3_time;When do (or did) you follow this program or course?;;;cw18k083;cw17j083;cw16i083;cw15h083;cw14g083;cw13f083;cw12e083;cw11d083;cw10c083;cw09b083;cw08a083;category;in my leisure time|during working hours|partly during working hours, partly in my leisure time;False
course3_paid;Who pays (or paid) for the costs of the program or course?;;;cw18k084;cw17j084;cw16i084;cw15h084;cw14g084;cw13f084;cw12e084;cw11d084;cw10c084;cw09b084;cw08a084;category;;False
course3_costs;How are (or were) the costs of the program or course paid, then?;;;cw18k085;cw17j085;cw16i085;cw15h085;cw14g085;cw13f085;cw12e085;cw11d085;cw10c085;cw09b085;cw08a085;object;;
course3_own_costs;What is the amount of your contribution to the costs of this program or course?;;;cw18k086;cw17j086;cw16i086;cw15h086;cw14g086;cw13f086;cw12e086;cw11d086;cw10c086;cw09b086;cw08a086;int;;
course3_important;Please indicate on a scale from 0 to 10 how important this course is for your cu;;;cw18k087;cw17j087;cw16i087;cw15h087;cw14g087;cw13f087;cw12e087;cw11d087;cw10c087;cw09b087;cw08a087;category;0|1|2|3|4|5|6|7|8|9|10;True
current_paid_work;Please indicate which of the following statements apply to your situation. Try t;;cw19l088;cw18k088;cw17j088;cw16i088;cw15h088;cw14g088;cw13f088;cw12e088;cw11d088;cw10c088;cw09b088;cw08a088;boolean;;
current_no_work;Please indicate which of the following statements apply to your situation. Try t;;cw19l089;cw18k089;cw17j089;cw16i089;cw15h089;cw14g089;cw13f089;cw12e089;cw11d089;cw10c089;cw09b089;cw08a089;boolean;;
current_unpaid_work;Please indicate which of the following statements apply to your situation. Try t;;cw19l090;cw18k090;cw17j090;cw16i090;cw15h090;cw14g090;cw13f090;cw12e090;cw11d090;cw10c090;cw09b090;cw08a090;boolean;;
current_seeking;Please indicate which of the following statements apply to your situation. Try t;;cw19l091;cw18k091;cw17j091;cw16i091;cw15h091;cw14g091;cw13f091;cw12e091;cw11d091;cw10c091;cw09b091;cw08a091;boolean;;
current_not_seeking;Please indicate which of the following statements apply to your situation. Try t;;cw19l092;cw18k092;cw17j092;cw16i092;cw15h092;cw14g092;cw13f092;cw12e092;cw11d092;cw10c092;cw09b092;cw08a092;boolean;;
current_first_job;Please indicate which of the following statements apply to your situation. Try t;;cw19l093;cw18k093;cw17j093;cw16i093;cw15h093;cw14g093;cw13f093;cw12e093;cw11d093;cw10c093;cw09b093;cw08a093;boolean;;
current_work_break;Please indicate which of the following statements apply to your situation. Try t;;cw19l094;cw18k094;cw17j094;cw16i094;cw15h094;cw14g094;cw13f094;cw12e094;cw11d094;cw10c094;cw09b094;cw08a094;boolean;;
current_student;Please indicate which of the following statements apply to your situation. Try t;;cw19l095;cw18k095;cw17j095;cw16i095;cw15h095;cw14g095;cw13f095;cw12e095;cw11d095;cw10c095;cw09b095;cw08a095;boolean;;
current_household;Please indicate which of the following statements apply to your situation. Try t;;cw19l096;cw18k096;cw17j096;cw16i096;cw15h096;cw14g096;cw13f096;cw12e096;cw11d096;cw10c096;cw09b096;cw08a096;boolean;;
current_rentier;Please indicate which of the following statements apply to your situation. Try t;;cw19l097;cw18k097;cw17j097;cw16i097;cw15h097;cw14g097;cw13f097;cw12e097;cw11d097;cw10c097;cw09b097;cw08a097;boolean;;
current_early_pension;Please indicate which of the following statements apply to your situation. Try t;;cw19l098;cw18k098;cw17j098;cw16i098;cw15h098;cw14g098;cw13f098;cw12e098;cw11d098;cw10c098;cw09b098;cw08a098;boolean;;
current_pension;Please indicate which of the following statements apply to your situation. Try t;;cw19l099;cw18k099;cw17j099;cw16i099;cw15h099;cw14g099;cw13f099;cw12e099;cw11d099;cw10c099;cw09b099;cw08a099;boolean;;
current_disabled;Please indicate which of the following statements apply to your situation. Try t;;cw19l100;cw18k100;cw17j100;cw16i100;cw15h100;cw14g100;cw13f100;cw12e100;cw11d100;cw10c100;cw09b100;cw08a100;boolean;;
current_volenteer;Please indicate which of the following statements apply to your situation. Try t;;cw19l101;cw18k101;cw17j101;cw16i101;cw15h101;cw14g101;cw13f101;cw12e101;cw11d101;cw10c101;cw09b101;cw08a101;boolean;;
current_other_work;Please indicate which of the following statements apply to your situation. Try t;;cw19l102;cw18k102;cw17j102;cw16i102;cw15h102;cw14g102;cw13f102;cw12e102;cw11d102;cw10c102;cw09b102;cw08a102;boolean;;
past_paid_work;Have you ever performed paid work in the past (even if it was only for one or se;;cw19l103;cw18k103;cw17j103;cw16i103;cw15h103;cw14g103;cw13f103;cw12e103;cw11d103;cw10c103;cw09b103;cw08a103;boolean;;
current_main;You gave several answers to the previous question. Please indicate here which of;;cw19l104;cw18k104;cw17j104;cw16i104;cw15h104;cw14g104;cw13f104;cw12e104;cw11d104;cw10c104;cw09b104;cw08a104;category;I perform paid work (even if is it just for one or several hours per week or for a brief period)|I am not working now, but have performed paid work in the past|I perform unpaid work while retaining my benefit or allowance|I am looking for work following the loss of my previous job|I have performed paid work, but am released from the obligation to find a new job following the loss of my previous job|I am a first-time job seeker|I am seeking work following a lengthy interruption|I am a pupil / student / trainee with an expenses claim only|I take care of the household|I live off private means|I have taken early retirement|I am a pensioner|I am partly or wholly disabled for work|I perform voluntary work|I perform paid work, but am looking for more or other work;False
disabled_neoplasm;On account of what diagnosis where you pronounced disabled for work? - neoplasms;;cw19l105;cw18k105;cw17j105;cw16i105;cw15h105;cw14g105;cw13f105;cw12e105;cw11d105;cw10c105;cw09b105;cw08a105;boolean;;
disabled_psych;On account of what diagnosis where you pronounced disabled for work? - psycholog;;cw19l106;cw18k106;cw17j106;cw16i106;cw15h106;cw14g106;cw13f106;cw12e106;cw11d106;cw10c106;cw09b106;cw08a106;boolean;;
disabled_nervous;On account of what diagnosis where you pronounced disabled for work? - nervous s;;cw19l107;cw18k107;cw17j107;cw16i107;cw15h107;cw14g107;cw13f107;cw12e107;cw11d107;cw10c107;cw09b107;cw08a107;boolean;;
disabled_heart;On account of what diagnosis where you pronounced disabled for work? - heart and;;cw19l108;cw18k108;cw17j108;cw16i108;cw15h108;cw14g108;cw13f108;cw12e108;cw11d108;cw10c108;cw09b108;cw08a108;boolean;;
disabled_muscle;On account of what diagnosis where you pronounced disabled for work? - musculosk;;cw19l109;cw18k109;cw17j109;cw16i109;cw15h109;cw14g109;cw13f109;cw12e109;cw11d109;cw10c109;cw09b109;cw08a109;boolean;;
disabled_other;On account of what diagnosis where you pronounced disabled for work? - other;;cw19l110;cw18k110;cw17j110;cw16i110;cw15h110;cw14g110;cw13f110;cw12e110;cw11d110;cw10c110;cw09b110;cw08a110;boolean;;
disabled_unknown;On account of what diagnosis where you pronounced disabled for work? - I dont k;;cw19l111;cw18k111;cw17j111;cw16i111;cw15h111;cw14g111;cw13f111;cw12e111;cw11d111;cw10c111;cw09b111;cw08a111;boolean;;
disabled_other_specified;On account of what diagnosis where you pronounced disabled for work, then?;;cw19l112;cw18k112;cw17j112;cw16i112;cw15h112;cw14g112;cw13f112;cw12e112;cw11d112;cw10c112;cw09b112;cw08a112;object;;
disabled_percentage;For what percentage have you been pronounced disabled for work?;;cw19l534;cw18k534;cw17j534;cw16i534;cw15h534;cw14g113;cw13f113;cw12e113;cw11d113;cw10c113;cw09b113;cw08a113;object;;
early_health;For what reason did you take early retirement? - poor health;;cw19l114;cw18k114;cw17j114;cw16i114;cw15h114;cw14g114;cw13f114;cw12e114;cw11d114;cw10c114;cw09b114;cw08a114;boolean;;
early_reorganization;For what reason did you take early retirement? - reorganization in the business;;cw19l115;cw18k115;cw17j115;cw16i115;cw15h115;cw14g115;cw13f115;cw12e115;cw11d115;cw10c115;cw09b115;cw08a115;boolean;;
early_wanted;For what reason did you take early retirement? - because I wanted to and it was;;cw19l116;cw18k116;cw17j116;cw16i116;cw15h116;cw14g116;cw13f116;cw12e116;cw11d116;cw10c116;cw09b116;cw08a116;boolean;;
early_employer;For what reason did you take early retirement? - because the employer wanted me;;cw19l117;cw18k117;cw17j117;cw16i117;cw15h117;cw14g117;cw13f117;cw12e117;cw11d117;cw10c117;cw09b117;cw08a117;boolean;;
early_other;For what reason did you take early retirement? - another reason;;cw19l118;cw18k118;cw17j118;cw16i118;cw15h118;cw14g118;cw13f118;cw12e118;cw11d118;cw10c118;cw09b118;cw08a118;boolean;;
early_age;At what age did you retire or take (early) retirement or FLO?;;;;;;;cw14g119;cw13f119;cw12e119;cw11d119;cw10c119;cw09b119;cw08a119;float;;
retirement_relief;From the moment that you stopped working, has your retirement been primarily a r;;cw19l120;cw18k120;cw17j120;cw16i120;cw15h120;cw14g120;cw13f120;cw12e120;cw11d120;cw10c120;cw09b120;cw08a120;category;a relief|a worry|both a relief and a worry|neither one|I never worked;False
work_permanent_selfemp;Are (/In your last job) (/were) you an employee in permanent or temporary employ;;cw19l121;cw18k121;cw17j121;cw16i121;cw15h121;cw14g121;cw13f121;cw12e121;cw11d121;cw10c121;cw09b121;cw08a121;category;employee in permanent employment|employee in temporary employment|on-call employee|temp-staffer|self-employed/freelancer|independent professional|director of a limited liability or private limited company|majority shareholder director;False
