new_name;labels;ch20m_EN_1.0p.dta;ch19l_EN_1.0p.dta;ch18k_EN_1.0p.dta;ch17j_EN_1.0p.dta;ch16i_EN_1.0p.dta;ch15h_EN_1.2p.dta;ch13g_EN_1.0p.dta;ch12f_EN_1.0p.dta;ch11e_EN_1.0p.dta;ch10d_EN_1.0p.dta;ch09c_EN_1.1p.dta;ch08b_EN_1.3p.dta;ch07a_2p_EN.dta;type;categories_english;ordered
hinder_work;To what extent did your physical health or emotional problems hinder your work o;ch20m022;ch19l022;ch18k022;ch17j022;ch16i022;ch15h022;ch13g022;ch12f022;ch11e022;ch10d022;ch09c022;ch08b022;ch07a022;category;not at all|hardly|a bit|quite a lot|very much;True
trouble_walking100;walking 100 meters;ch20m023;ch19l023;ch18k023;ch17j023;ch16i023;ch15h023;ch13g023;ch12f023;ch11e023;ch10d023;ch09c023;ch08b023;ch07a023;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_sitting;sitting for around two hours;ch20m024;ch19l024;ch18k024;ch17j024;ch16i024;ch15h024;ch13g024;ch12f024;ch11e024;ch10d024;ch09c024;ch08b024;ch07a024;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_standing;getting up from a chair in which you sat for some time;ch20m025;ch19l025;ch18k025;ch17j025;ch16i025;ch15h025;ch13g025;ch12f025;ch11e025;ch10d025;ch09c025;ch08b025;ch07a025;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_stairs;walking several stairs without resting in between;ch20m026;ch19l026;ch18k026;ch17j026;ch16i026;ch15h026;ch13g026;ch12f026;ch11e026;ch10d026;ch09c026;ch08b026;ch07a026;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_climbing;walking up a staircase without resting;ch20m027;ch19l027;ch18k027;ch17j027;ch16i027;ch15h027;ch13g027;ch12f027;ch11e027;ch10d027;ch09c027;ch08b027;ch07a027;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_crouching;crouching, kneeling, crawling on all fours;ch20m028;ch19l028;ch18k028;ch17j028;ch16i028;ch15h028;ch13g028;ch12f028;ch11e028;ch10d028;ch09c028;ch08b028;ch07a028;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_reaching;reaching above shoulder height or stretching your arms above shoulder height;ch20m029;ch19l029;ch18k029;ch17j029;ch16i029;ch15h029;ch13g029;ch12f029;ch11e029;ch10d029;ch09c029;ch08b029;ch07a029;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_moving;moving large objects such as a diningroom chair;ch20m030;ch19l030;ch18k030;ch17j030;ch16i030;ch15h030;ch13g030;ch12f030;ch11e030;ch10d030;ch09c030;ch08b030;ch07a030;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_lifting;lifting or carrying a weight of 5 kilos, such as a heavy bag of groceries;ch20m031;ch19l031;ch18k031;ch17j031;ch16i031;ch15h031;ch13g031;ch12f031;ch11e031;ch10d031;ch09c031;ch08b031;ch07a031;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_picking;picking up a small coin lying on the table;ch20m032;ch19l032;ch18k032;ch17j032;ch16i032;ch15h032;ch13g032;ch12f032;ch11e032;ch10d032;ch09c032;ch08b032;ch07a032;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_dressing;dressing and undressing, including shoes and socks;ch20m033;ch19l033;ch18k033;ch17j033;ch16i033;ch15h033;ch13g033;ch12f033;ch11e033;ch10d033;ch09c033;ch08b033;ch07a033;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_walking;walking across the room;ch20m034;ch19l034;ch18k034;ch17j034;ch16i034;ch15h034;ch13g034;ch12f034;ch11e034;ch10d034;ch09c034;ch08b034;ch07a034;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_bathing;bathing or showering;ch20m035;ch19l035;ch18k035;ch17j035;ch16i035;ch15h035;ch13g035;ch12f035;ch11e035;ch10d035;ch09c035;ch08b035;ch07a035;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_eating;eating, such as cutting your food into small bits;ch20m036;ch19l036;ch18k036;ch17j036;ch16i036;ch15h036;ch13g036;ch12f036;ch11e036;ch10d036;ch09c036;ch08b036;ch07a036;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_bed;getting in and out of bed;ch20m037;ch19l037;ch18k037;ch17j037;ch16i037;ch15h037;ch13g037;ch12f037;ch11e037;ch10d037;ch09c037;ch08b037;ch07a037;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_toilet;using the toilet, including sitting down and standing up;ch20m038;ch19l038;ch18k038;ch17j038;ch16i038;ch15h038;ch13g038;ch12f038;ch11e038;ch10d038;ch09c038;ch08b038;ch07a038;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_map;reading a map to find your way in an unfamiliar area;ch20m039;ch19l039;ch18k039;ch17j039;ch16i039;ch15h039;ch13g039;ch12f039;ch11e039;ch10d039;ch09c039;ch08b039;ch07a039;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_cooking;preparing a hot meal;ch20m040;ch19l040;ch18k040;ch17j040;ch16i040;ch15h040;ch13g040;ch12f040;ch11e040;ch10d040;ch09c040;ch08b040;ch07a040;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_shopping;shopping;ch20m041;ch19l041;ch18k041;ch17j041;ch16i041;ch15h041;ch13g041;ch12f041;ch11e041;ch10d041;ch09c041;ch08b041;ch07a041;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_telephoning;telephoning;ch20m042;ch19l042;ch18k042;ch17j042;ch16i042;ch15h042;ch13g042;ch12f042;ch11e042;ch10d042;ch09c042;ch08b042;ch07a042;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_medicine;taking medicines;ch20m043;ch19l043;ch18k043;ch17j043;ch16i043;ch15h043;ch13g043;ch12f043;ch11e043;ch10d043;ch09c043;ch08b043;ch07a043;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_housework;performing housekeeping work or maintaining the garden;ch20m044;ch19l044;ch18k044;ch17j044;ch16i044;ch15h044;ch13g044;ch12f044;ch11e044;ch10d044;ch09c044;ch08b044;ch07a044;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
trouble_finances;taking care of financial affairs, such as paying bills and keeping track of expe;ch20m045;ch19l045;ch18k045;ch17j045;ch16i045;ch15h045;ch13g045;ch12f045;ch11e045;ch10d045;ch09c045;ch08b045;ch07a045;category;without any trouble|with some trouble|with a lot of trouble|only with an aid or the help of others|not at all;True
complaints_lifting; hoisting or lifting;;;;;;;ch13g046;ch12f046;ch11e046;ch10d046;ch09c046;ch08b046;ch07a046;boolean;;
complaints_pushing; pushing or pulling;;;;;;;ch13g047;ch12f047;ch11e047;ch10d047;ch09c047;ch08b047;ch07a047;boolean;;
complaints_carrying; carrying;;;;;;;ch13g048;ch12f048;ch11e048;ch10d048;ch09c048;ch08b048;ch07a048;boolean;;
complaints_working_upright; working while standing upright;;;;;;;ch13g049;ch12f049;ch11e049;ch10d049;ch09c049;ch08b049;ch07a049;boolean;;
complaints_bending; bending over;;;;;;;ch13g050;ch12f050;ch11e050;ch10d050;ch09c050;ch08b050;ch07a050;boolean;;
complaints_kneeling; kneeling, crouching or crawling on all fours;;;;;;;ch13g051;ch12f051;ch11e051;ch10d051;ch09c051;ch08b051;ch07a051;boolean;;
complaints_drafty; working under drafty circumstances;;;;;;;ch13g052;ch12f052;ch11e052;ch10d052;ch09c052;ch08b052;ch07a052;boolean;;
complaints_humid; working under humid/wet circumstances;;;;;;;ch13g053;ch12f053;ch11e053;ch10d053;ch09c053;ch08b053;ch07a053;boolean;;
complaints_stuffy; working in stuffy/dusty spaces;;;;;;;ch13g054;ch12f054;ch11e054;ch10d054;ch09c054;ch08b054;ch07a054;boolean;;
complaints_gasses; exposure to gasses or fumes;;;;;;;ch13g055;ch12f055;ch11e055;ch10d055;ch09c055;ch08b055;ch07a055;boolean;;
complaints_cold; working while it is cold;;;;;;;ch13g056;ch12f056;ch11e056;ch10d056;ch09c056;ch08b056;ch07a056;boolean;;
complaints_hot; working while it is hot;;;;;;;ch13g057;ch12f057;ch11e057;ch10d057;ch09c057;ch08b057;ch07a057;boolean;;
complaints_temp_changes; working with strong temperature changes;;;;;;;ch13g058;ch12f058;ch11e058;ch10d058;ch09c058;ch08b058;ch07a058;boolean;;
complaints_walking; walking;;;;;;;ch13g060;ch12f060;ch11e060;ch10d060;ch09c060;ch08b060;ch07a060;boolean;;
complaints_sitting; sitting;;;;;;;ch13g061;ch12f061;ch11e061;ch10d061;ch09c061;ch08b061;ch07a061;boolean;;
complaints_hands; working with hands and fingers;;;;;;;ch13g062;ch12f062;ch11e062;ch10d062;ch09c062;ch08b062;ch07a062;boolean;;
complaints_beyond; working beyond your capabilities;;;;;;;ch13g063;ch12f063;ch11e063;ch10d063;ch09c063;ch08b063;ch07a063;boolean;;
complaints_outside; working in the open air;;;;;;;ch13g064;ch12f064;ch11e064;ch10d064;ch09c064;ch08b064;ch07a064;boolean;;
complaints_meetings; participating in meetings or talks;;;;;;;ch13g065;ch12f065;ch11e065;ch10d065;ch09c065;ch08b065;ch07a065;boolean;;
complaints_reading; reading;;;;;;;ch13g066;ch12f066;ch11e066;ch10d066;ch09c066;ch08b066;ch07a066;boolean;;
complaints_writing; writing;;;;;;;ch13g067;ch12f067;ch11e067;ch10d067;ch09c067;ch08b067;ch07a067;boolean;;
complaints_arithmetic; arithmetic;;;;;;;ch13g068;ch12f068;ch11e068;ch10d068;ch09c068;ch08b068;ch07a068;boolean;;
complaints_pressure; working under time pressure;;;;;;;ch13g069;ch12f069;ch11e069;ch10d069;ch09c069;ch08b069;ch07a069;boolean;;
rec_back;back-, knee-, hip-pain or pain in any other joint;ch20m070;ch19l070;ch18k070;ch17j070;ch16i070;ch15h070;ch13g070;ch12f070;ch11e070;ch10d070;ch09c070;ch08b070;ch07a070;boolean;;
rec_heart;heart complaints or angina, pain in the chest due to exertion;ch20m071;ch19l071;ch18k071;ch17j071;ch16i071;ch15h071;ch13g071;ch12f071;ch11e071;ch10d071;ch09c071;ch08b071;ch07a071;boolean;;
rec_breath;short of breath, problems with breathing;ch20m072;ch19l072;ch18k072;ch17j072;ch16i072;ch15h072;ch13g072;ch12f072;ch11e072;ch10d072;ch09c072;ch08b072;ch07a072;boolean;;
rec_cough;coughing, a stuffy nose and/or flu-related complaints;ch20m073;ch19l073;ch18k073;ch17j073;ch16i073;ch15h073;ch13g073;ch12f073;ch11e073;ch10d073;ch09c073;ch08b073;ch07a073;boolean;;
rec_stomach;stomach or intestinal problems;ch20m074;ch19l074;ch18k074;ch17j074;ch16i074;ch15h074;ch13g074;ch12f074;ch11e074;ch10d074;ch09c074;ch08b074;ch07a074;boolean;;
rec_headache;headache;ch20m075;ch19l075;ch18k075;ch17j075;ch16i075;ch15h075;ch13g075;ch12f075;ch11e075;ch10d075;ch09c075;ch08b075;ch07a075;boolean;;
rec_fatigue;fatigue;ch20m076;ch19l076;ch18k076;ch17j076;ch16i076;ch15h076;ch13g076;ch12f076;ch11e076;ch10d076;ch09c076;ch08b076;ch07a076;boolean;;
rec_sleeping;sleeping problems;ch20m077;ch19l077;ch18k077;ch17j077;ch16i077;ch15h077;ch13g077;ch12f077;ch11e077;ch10d077;ch09c077;ch08b077;ch07a077;boolean;;
rec_other;other recurrent complaints;ch20m078;ch19l078;ch18k078;ch17j078;ch16i078;ch15h078;ch13g078;ch12f078;ch11e078;ch10d078;ch09c078;ch08b078;ch07a078;boolean;;
rec_none;no recurrent complaints;ch20m079;ch19l079;ch18k079;ch17j079;ch16i079;ch15h079;ch13g079;ch12f079;ch11e079;ch10d079;ch09c079;ch08b079;ch07a079;boolean;;
dum_angina;angina, pain in the chest;ch20m080;ch19l080;ch18k080;ch17j080;ch16i080;ch15h080;ch13g080;ch12f080;ch11e080;ch10d080;ch09c080;ch08b080;ch07a080;boolean;;
dum_attack;a heart attack including infarction or coronary thrombosis or another heart prob;ch20m081;ch19l081;ch18k081;ch17j081;ch16i081;ch15h081;ch13g081;ch12f081;ch11e081;ch10d081;ch09c081;ch08b081;ch07a081;boolean;;
dum_pressure;high blood pressure or hypertension;ch20m082;ch19l082;ch18k082;ch17j082;ch16i082;ch15h082;ch13g082;ch12f082;ch11e082;ch10d082;ch09c082;ch08b082;ch07a082;boolean;;
dum_cholestrol;high cholesterol content in blood;ch20m083;ch19l083;ch18k083;ch17j083;ch16i083;ch15h083;ch13g083;ch12f083;ch11e083;ch10d083;ch09c083;ch08b083;ch07a083;boolean;;
dum_stroke;a stroke or brain infarction or a disease affecting the blood vessels;ch20m084;ch19l084;ch18k084;ch17j084;ch16i084;ch15h084;ch13g084;ch12f084;ch11e084;ch10d084;ch09c084;ch08b084;ch07a084;boolean;;
dum_diabetes;diabetes or a too high blood sugar level;ch20m085;ch19l085;ch18k085;ch17j085;ch16i085;ch15h085;ch13g085;ch12f085;ch11e085;ch10d085;ch09c085;ch08b085;ch07a085;boolean;;
dum_lung;chronic lung disease such as chronic bronchitis or emphysema;ch20m086;ch19l086;ch18k086;ch17j086;ch16i086;ch15h086;ch13g086;ch12f086;ch11e086;ch10d086;ch09c086;ch08b086;ch07a086;boolean;;
dum_asthma;asthma;ch20m087;ch19l087;ch18k087;ch17j087;ch16i087;ch15h087;ch13g087;ch12f087;ch11e087;ch10d087;ch09c087;ch08b087;ch07a087;boolean;;
dum_arthitis;arthritis, including osteoarthritis, or rheumatism, bone decalcification;ch20m088;ch19l088;ch18k088;ch17j088;ch16i088;ch15h088;ch13g088;ch12f088;ch11e088;ch10d088;ch09c088;ch08b088;ch07a088;boolean;;
dum_cancer;cancer or malignant tumor, including leukemia or lymphoma;ch20m089;ch19l089;ch18k089;ch17j089;ch16i089;ch15h089;ch13g089;ch12f089;ch11e089;ch10d089;ch09c089;ch08b089;ch07a089;boolean;;
dum_ulcer;a gastric ulcer or duodenal ulcer;ch20m090;ch19l090;ch18k090;ch17j090;ch16i090;ch15h090;ch13g090;ch12f090;ch11e090;ch10d090;ch09c090;ch08b090;ch07a090;boolean;;
dum_parkinson;Parkinson's disease;ch20m091;ch19l091;ch18k091;ch17j091;ch16i091;ch15h091;ch13g091;ch12f091;ch11e091;ch10d091;ch09c091;ch08b091;ch07a091;boolean;;
dum_cataract;cataract;ch20m092;ch19l092;ch18k092;ch17j092;ch16i092;ch15h092;ch13g092;ch12f092;ch11e092;ch10d092;ch09c092;ch08b092;ch07a092;boolean;;
dum_hip;a broken hip or thigh bone;ch20m093;ch19l093;ch18k093;ch17j093;ch16i093;ch15h093;ch13g093;ch12f093;ch11e093;ch10d093;ch09c093;ch08b093;ch07a093;boolean;;
dum_fracture;another fracture;ch20m094;ch19l094;ch18k094;ch17j094;ch16i094;ch15h094;ch13g094;ch12f094;ch11e094;ch10d094;ch09c094;ch08b094;ch07a094;boolean;;
dum_alzheimer;Alzheimer, dementia, organic brain syndrome, senility;ch20m095;ch19l095;ch18k095;ch17j095;ch16i095;ch15h095;ch13g095;ch12f095;ch11e095;ch10d095;ch09c095;ch08b095;ch07a095;boolean;;
dum_benign_tumor;benign tumor (skin tumor, polyps, angioma);ch20m096;ch19l096;ch18k096;ch17j096;ch16i096;ch15h096;ch13g096;ch12f096;ch11e096;ch10d096;ch09c096;ch08b096;ch07a096;boolean;;
dum_covid;COVID-19 (new corona virus);ch20m269;;;;;;;;;;;;;boolean;;
dum_other;other afflictions not yet mentioned;ch20m097;ch19l097;ch18k097;ch17j097;ch16i097;ch15h097;ch13g097;ch12f097;ch11e097;ch10d097;ch09c097;ch08b097;ch07a097;boolean;;
dum_no_diseases;no diseases / problems;ch20m098;ch19l098;ch18k098;ch17j098;ch16i098;ch15h098;ch13g098;ch12f098;ch11e098;ch10d098;ch09c098;ch08b098;ch07a098;boolean;;
days_unable_to_work;How many days during the last month were you unable to go to work, perform house;ch20m099;ch19l099;ch18k099;ch17j099;ch16i099;ch15h099;ch13g099;ch12f099;ch11e099;ch10d099;ch09c099;ch08b099;ch07a099;category;0 days|1 or 2 days|3 to 5 days|5 to 10 days|more than 10 days;True
smoke_past;Have you ever smoked?;ch20m125;ch19l125;ch18k125;ch17j125;ch16i125;ch15h125;ch13g125;ch12f125;ch11e125;ch10d125;ch09c125;ch08b125;ch07a125;boolean;;
smoke_now;Do you smoke now?;ch20m126;ch19l126;ch18k126;ch17j126;ch16i126;ch15h126;ch13g126;ch12f126;ch11e126;ch10d126;ch09c126;ch08b126;ch07a126;boolean;;
smoke1 ;cigarettes (including rolling tobacco);ch20m127;ch19l127;ch18k127;ch17j127;ch16i127;ch15h127;ch13g127;ch12f127;ch11e127;ch10d127;ch09c127;ch08b127;ch07a127;boolean;;
smoke2 ;pipe;ch20m128;ch19l128;ch18k128;ch17j128;ch16i128;ch15h128;ch13g128;ch12f128;ch11e128;ch10d128;ch09c128;ch08b128;ch07a128;boolean;;
smoke3;cigars or cigarillos;ch20m129;ch19l129;ch18k129;ch17j129;ch16i129;ch15h129;ch13g129;ch12f129;ch11e129;ch10d129;ch09c129;ch08b129;ch07a129;boolean;;
smoke1_amount;How many cigarettes (including rolling tobacco) [did/do] you smoke on average pe;ch20m130;ch19l130;ch18k130;ch17j130;ch16i130;ch15h130;ch13g130;ch12f130;ch11e130;ch10d130;ch09c130;ch08b130;ch07a130;int;;
smoke2_amount;How many pipes [did/do] you smoke on average per day?;ch20m131;ch19l131;ch18k131;ch17j131;ch16i131;ch15h131;ch13g131;ch12f131;ch11e131;ch10d131;ch09c131;ch08b131;ch07a131;int;;
smoke3_amount;How many cigars or cigarillos [did/do] you smoke on average per day?;ch20m132;ch19l132;ch18k132;ch17j132;ch16i132;ch15h132;ch13g132;ch12f132;ch11e132;ch10d132;ch09c132;ch08b132;ch07a132;int;;
drink_year;How often did you have a drink containing alcohol over the last 12 months?;ch20m133;ch19l133;ch18k133;ch17j133;ch16i133;ch15h133;ch13g133;ch12f133;ch11e133;ch10d133;ch09c133;ch08b133;ch07a133;category;almost every day|five or six days per week|three or four days per week|once or twice a week|once or twice a month|once every two months|once or twice a year|not at all over the last 12 months;True
drink_week;Did you have a drink containing alcohol during the last seven days (excluding to;ch20m134;ch19l134;ch18k134;ch17j134;ch16i134;ch15h134;ch13g134;ch12f134;ch11e134;ch10d134;ch09c134;ch08b134;ch07a134;boolean;;
drink_days;On how many of the past seven days did you have a drink containing alcohol?;ch20m135;ch19l135;ch18k135;ch17j135;ch16i135;ch15h135;ch13g135;ch12f135;ch11e135;ch10d135;ch09c135;ch08b135;ch07a135;category;1|2|3|4|5|6|7;True
drink1;beer of regular strength with less than 6% alcohol;ch20m136;ch19l136;ch18k136;ch17j136;ch16i136;ch15h136;ch13g136;ch12f136;ch11e136;ch10d136;ch09c136;ch08b136;ch07a136;boolean;;
drink2;strong beer with 6% alcohol or more;ch20m137;ch19l137;ch18k137;ch17j137;ch16i137;ch15h137;ch13g137;ch12f137;ch11e137;ch10d137;ch09c137;ch08b137;ch07a137;boolean;;
drink3;strong spirits or liquors;ch20m138;ch19l138;ch18k138;ch17j138;ch16i138;ch15h138;ch13g138;ch12f138;ch11e138;ch10d138;ch09c138;ch08b138;ch07a138;boolean;;
drink4;sherry or martini;ch20m139;ch19l139;ch18k139;ch17j139;ch16i139;ch15h139;ch13g139;ch12f139;ch11e139;ch10d139;ch09c139;ch08b139;ch07a139;boolean;;
drink5;wine (including champagne);ch20m140;ch19l140;ch18k140;ch17j140;ch16i140;ch15h140;ch13g140;ch12f140;ch11e140;ch10d140;ch09c140;ch08b140;ch07a140;boolean;;
drink6;premixes, alcohol pops, blasters and shooters;ch20m141;ch19l141;ch18k141;ch17j141;ch16i141;ch15h141;ch13g141;ch12f141;ch11e141;ch10d141;ch09c141;ch08b141;ch07a141;boolean;;
drink7;other types of drinks containing alcohol;ch20m142;ch19l142;ch18k142;ch17j142;ch16i142;ch15h142;ch13g142;ch12f142;ch11e142;ch10d142;ch09c142;ch08b142;ch07a142;boolean;;
drink7_alt1;other type of alcoholic drink;ch20m143;ch19l143;ch18k143;ch17j143;ch16i143;ch15h143;ch13g143;ch12f143;ch11e143;ch10d143;ch09c143;ch08b143;ch07a143;object;;
drink7_alt2;other type of alcoholic drink;ch20m144;ch19l144;ch18k144;ch17j144;ch16i144;ch15h144;ch13g144;ch12f144;ch11e144;ch10d144;ch09c144;ch08b144;ch07a144;object;;
drink_normal1;number of glasses (count large glasses as 2);ch20m145;ch19l145;ch18k145;ch17j145;ch16i145;ch15h145;ch13g145;ch12f145;ch11e145;ch10d145;ch09c145;ch08b145;ch07a145;int;;
drink_normal2;number of half liter glasses (pints);ch20m146;ch19l146;ch18k146;ch17j146;ch16i146;ch15h146;ch13g146;ch12f146;ch11e146;ch10d146;ch09c146;ch08b146;ch07a146;int;;
drink_normal3;number of half liter cans or bottles;ch20m147;ch19l147;ch18k147;ch17j147;ch16i147;ch15h147;ch13g147;ch12f147;ch11e147;ch10d147;ch09c147;ch08b147;ch07a147;int;;
drink_normal4;number of small cans or bottles;ch20m148;ch19l148;ch18k148;ch17j148;ch16i148;ch15h148;ch13g148;ch12f148;ch11e148;ch10d148;ch09c148;ch08b148;ch07a148;int;;
drink_strong1;number of glasses (count large glasses as 2);ch20m149;ch19l149;ch18k149;ch17j149;ch16i149;ch15h149;ch13g149;ch12f149;ch11e149;ch10d149;ch09c149;ch08b149;ch07a149;int;;
drink_strong2;number of half liter glasses (pints);ch20m150;ch19l150;ch18k150;ch17j150;ch16i150;ch15h150;ch13g150;ch12f150;ch11e150;ch10d150;ch09c150;ch08b150;ch07a150;int;;
drink_strong3;number of half liter cans or bottles;ch20m151;ch19l151;ch18k151;ch17j151;ch16i151;ch15h151;ch13g151;ch12f151;ch11e151;ch10d151;ch09c151;ch08b151;ch07a151;int;;
drink_strong4;number of small cans or bottles;ch20m152;ch19l152;ch18k152;ch17j152;ch16i152;ch15h152;ch13g152;ch12f152;ch11e152;ch10d152;ch09c152;ch08b152;ch07a152;int;;
drink3_amount;strong spirits or liquor, such as gin, whisky, rum, brandy, vodka or cocktails;ch20m153;ch19l153;ch18k153;ch17j153;ch16i153;ch15h153;ch13g153;ch12f153;ch11e153;ch10d153;ch09c153;ch08b153;ch07a153;int;;
drink4_amount;sherry or martini (including port, vermouth, Cinzano, Dubonnet);ch20m154;ch19l154;ch18k154;ch17j154;ch16i154;ch15h154;ch13g154;ch12f154;ch11e154;ch10d154;ch09c154;ch08b154;ch07a154;int;;
drink5_amount;wine (including champagne);ch20m155;ch19l155;ch18k155;ch17j155;ch16i155;ch15h155;ch13g155;ch12f155;ch11e155;ch10d155;ch09c155;ch08b155;ch07a155;int;;
drink6_amount;Can you indicate below how many small cans or bottles of premixes, alcohol pops,;ch20m156;ch19l156;ch18k156;ch17j156;ch16i156;ch15h156;ch13g156;ch12f156;ch11e156;ch10d156;ch09c156;ch08b156;ch07a156;int;;
drink7_alt1_amount;Can you indicate below how many glasses [ch16i143] you drank that day (count lar;ch20m157;ch19l157;ch18k157;ch17j157;ch16i157;ch15h157;ch13g157;ch12f157;ch11e157;ch10d157;ch09c157;ch08b157;ch07a157;int;;
drink7_alt2_amount;Can you indicate below how many glasses [ch16i144] you drank that day (count lar;ch20m158;ch19l158;ch18k158;ch17j158;ch16i158;ch15h158;ch13g158;ch12f158;ch11e158;ch10d158;ch09c158;ch08b158;ch07a158;int;;
drugs1;sedatives (such as valium);ch20m159;ch19l159;ch18k159;ch17j159;ch16i159;ch15h159;ch13g159;ch12f159;ch11e159;ch10d159;ch09c159;ch08b159;ch07a159;category;never|sometimes|regularly;True
