new_name;reference.period.other.than.survey.period;label_english;L_CoronavirusImpact_wave6_2p.dta;L_CoronavirusImpact_wave5_3p.dta;L_CoronavirusImpact_wave4_4p.dta;L_CoronavirusImpact_wave3_4p.dta;L_CoronavirusImpact_4.0p.dta;L_CoronavirusImpact_3p.dta;type;categories_english;ordered;topic_english;question_group
l_2m_die_preexist_30;;How big do you think the chances are that an 30 year old with diabetes and chronic cardiovascular disease will die?;;;;;;q2h1;category;not at all likely|very unlikely|rather unlikely|moderately likely|rather likely|very likely|certain;TRUE;Health Beliefs;q2
l_2m_hospital_preexist_75;;How big do you think the chances are that an 75 year old with diabetes and chronic cardiovascular disease will have to go to the hospital?;;;;;;q2i1;category;not at all likely|very unlikely|rather unlikely|moderately likely|rather likely|very likely|certain;TRUE;Health Beliefs;q2
l_2m_die_preexist_75;;How big do you think the chances are that an 75 year old with diabetes and chronic cardiovascular disease will die?;;;;;;q2j1;category;not at all likely|very unlikely|rather unlikely|moderately likely|rather likely|very likely|certain;TRUE;Health Beliefs;q2
avoid_busy_places;;I have avoided certain (busy) places;;;;;;q3__1;bool;;;Compliance;q3
avoid_public_places;;I have avoided public places;;;;;;q3__2;bool;;;Compliance;q3
maintain_distance;;I have maintained physical distance from other people (> 1.5m);;;;;;q3__3;bool;;;Compliance;q3
adjust_school_work;;I have adjusted my school / work situation;;;;;;q3__4;bool;;;Compliance;q3
quarantine_symptoms;;I have quarantined myself because I had symptoms.;;;;;;q3__5;bool;;;Compliance;q3
quarantine_no_symptoms;;I have quarantined myself even though I have no symptoms.;;;;;;q3__6;bool;;;Compliance;q3
no_avoidance_behaviors;;I have done none of the above;;;;;;q3__7;bool;;;Compliance;q3
effect_close_schools;;How effective do you think school and pre-k closures are in fighting the spread of coronavirus?;;;;;;q6a;category;not effective at all|hardly effective|somewhat effective|effective|very effective;TRUE;Expected Timespan;q6
effect_close_sports;;How effective do you think is it to close sport establishments to fight the spread of coronavirus?;;;;;;q6b;category;not effective at all|hardly effective|somewhat effective|effective|very effective;TRUE;Expected Timespan;q6
effect_close_food_service;;How effective do you think is it to close bars, cafes and restaurants to fight the spread of coronavirus?;;;;;;q6c;category;not effective at all|hardly effective|somewhat effective|effective|very effective;TRUE;Expected Timespan;q6
effect_close_most_stores;;How effective do you think is it to close all stores except grocery stores and pharmacies to fight the spread of coronavirus?;;;;;;q6d;category;not effective at all|hardly effective|somewhat effective|effective|very effective;TRUE;Expected Timespan;q6
effect_forbid_hospital_visits;;How effective do you think is it to forbid visits to hospitals, nursing homes and retirement homes to fight the spread of coronavirus?;;;;;;q6e;category;not effective at all|hardly effective|somewhat effective|effective|very effective;TRUE;Expected Timespan;q6
effect_curfew_high_risk;;How effective do you think is it to enact a curfew (except on grocery shopping and necessary medical procedures) on over 70 year olds and people with preexisting conditions to fight the spread of coronavirus?;;;;;;q6f;category;not effective at all|hardly effective|somewhat effective|effective|very effective;TRUE;Expected Timespan;q6
effect_curfew_non_crucial;;How effective do you think is it to enact a curfew (except on grocery shopping and necessary medical procedures) on everyone except for people in critical professions to fight the spread of coronavirus?;;;;;;q6g;category;not effective at all|hardly effective|somewhat effective|effective|very effective;TRUE;Expected Timespan;q6
comply_curfew_self;;Would you comply with a curfew?;;;;;;q10;category;yes|no|critical profession;FALSE;Compliance;q10
approp_gov_medical;;Has the federal government taken enough action to safeguard medical coverage to fight the current epidemic?;;;;q33a;;q33a;category;too few|rather too few|right amount|rather too many|too many;TRUE;Policies;q33
approp_gov_restrict_public_life;;Has the federal government taken enough action in restricting the public life to fight the current epidemic?;;;;q33b;;q33b;category;too few|rather too few|right amount|rather too many|too many;TRUE;Policies;q33
approp_gov_econ_mitigation;;Has the federal government taken enough action to mitigate the economic repercussions to fight the current epidemic?;;;;q33c;;q33c;category;too few|rather too few|right amount|rather too many|too many;TRUE;Policies;q33
approp_gov_communication;;Has the federal government taken enough action communicating with the general public to fight the current epidemic?;;;;q33d;;q33d;category;too few|rather too few|right amount|rather too many|too many;TRUE;Policies;q33
trust_gov;;In general, how confident are you in the government?;;;;;;q32;category;1 no confidence at all|2|3|4|5 a lot of confidence;TRUE;Policies;q32
work_status_202002;202002;Which of the following options describes your work situation at the beginning of March 2020 best?;;;;;q13;q13;category;homemaker|social assistance|employed|retired|student or trainee|unemployed|self-employed;FALSE;Employment;q13
nr_children_below_12;;How many children under 12 are in your household?;;;;;q22;q22;Int;;;Childcare;q22
cc_self_home;;I stay at home.;;;;;q23__1;q23__1;bool;;;Childcare;q23
cc_partner_home;;My partner stays at home.;;;;;q23__2;q23__2;bool;;;Childcare;q23
cc_older_siblings;;The older siblings care for the younger children.;;;;;q23__3;q23__3;bool;;;Childcare;q23
cc_grand_parents;;The grandparents care for the children.;;;;;q23__4;q23__4;bool;;;Childcare;q23
cc_other_relatives;;Other relatives or friends care for the children.;;;;;q23__5;q23__5;bool;;;Childcare;q23
cc_share_neighbors;;I organize child care with friends / neighbors together.;;;;;q23__6;q23__6;bool;;;Childcare;q23
cc_state;;The state organizes child care for my profession.;;;;;q23__7;q23__7;bool;;;Childcare;q23
cc_ex_partner;;My ex-partner cares for the children.;;;;;q23__8;q23__8;bool;;;Childcare;q23
cc_home_alone;;The child(ren) stay(s) at home alone.;;;;;q23__9;q23__9;bool;;;Childcare;q23
cc_other;;Otherwise;;;;;q23__10;q23__10;bool;;;Childcare;q23
cc_other_str;;Otherwise, namely:;;;;;q23and;q23and;object;;;Childcare;q23
cc_emergency_helpful;;Are you well helped with this emergency (child) care?;;;;;;q24;category;1 no, not at all|2|3|4|5 yes, totally;TRUE;Childcare;q24
cc_emergency_comment;;If you want to say something about this emergency (child) care, maybe about what you think could be improved, you can put it here;;;;;;q25a;object;;;Childcare;q25
effect_mask;;In your opinion, how effective is wearing a mask when it comes to protecting yourself against the coronavirus?;;;;;;q4a;category;not effective at all|hardly effective|somewhat effective|effective|very effective;TRUE;Behavior;q4
effect_pray;;In your opinion, how effective is praying when it comes to protecting yourself against the coronavirus?;;;;;;q4b;category;not effective at all|hardly effective|somewhat effective|effective|very effective;TRUE;Behavior;q4
effect_wash_hands;;In your opinion, how effective is washing your hands or using desinfectant when it comes to protecting yourself against the coronavirus?;;;;;;q4c;category;not effective at all|hardly effective|somewhat effective|effective|very effective;TRUE;Behavior;q4
effect_doctor_ill;;In your opinion, how effective is calling a physician if you are ill when it comes to protecting yourself against the coronavirus?;;;;;;q4d;category;not effective at all|hardly effective|somewhat effective|effective|very effective;TRUE;Behavior;q4
effect_doctor_healthy;;In your opinion, how effective is calling a physician if you don't feel ill but are worried when it comes to protecting yourself against the coronavirus?;;;;;;q4e;category;not effective at all|hardly effective|somewhat effective|effective|very effective;TRUE;Behavior;q4
effect_avoid_public_places;;In your opinion, how effective is avoiding public places when it comes to protecting yourself against the coronavirus?;;;;;;q4f;category;not effective at all|hardly effective|somewhat effective|effective|very effective;TRUE;Behavior;q4
effect_avoid_high_risk;;In your opinion, how effective is avoiding vulnerable people when it comes to protecting yourself against the coronavirus?;;;;;;q4g;category;not effective at all|hardly effective|somewhat effective|effective|very effective;TRUE;Behavior;q4
effect_avoid_hospital;;In your opinion, how effective is avoiding visitng others in the hospital or retirement homes when it comes to protecting yourself against the coronavirus?;;;;;;q4h;category;not effective at all|hardly effective|somewhat effective|effective|very effective;TRUE;Behavior;q4
effect_avoid_gastro;;In your opinion, how effective is avoiding cafes and restaurants when it comes to protecting yourself against the coronavirus?;;;;;;q4i;category;not effective at all|hardly effective|somewhat effective|effective|very effective;TRUE;Behavior;q4
effect_avoid_public_transp;;In your opinion, how effective is avoiding public transport when it comes to protecting yourself against the coronavirus?;;;;;;q4j;category;not effective at all|hardly effective|somewhat effective|effective|very effective;TRUE;Behavior;q4
contact_older_people;;Have you had personal, social contact with older people in the past seven days?;;;;;;q5;category;none at all|hardly any|some|a lot|a whole lot;TRUE;Behavior;q5
support_close_schools;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? All kindergardens and schools have ot stay closed;;;;;;q8a;category;totally disagree|disagree|neither/nore|agree|totally agree;TRUE;Policies;q8
support_close_cafes;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? All cafes and restaurants have to stay closed;;;;;;q8b;category;totally disagree|disagree|neither/nore|agree|totally agree;TRUE;Policies;q8
support_close_most_shops;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? All shops except for supermarkets and pharmacies have to stay closed;;;;;;q8c;category;totally disagree|disagree|neither/nore|agree|totally agree;TRUE;Policies;q8
support_no_visitors;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? No visitors in hospitals and elderly homes;q8d;;;;;q8d;category;totally disagree|disagree|neither/nore|agree|totally agree;TRUE;Policies;q8
support_curfew_high_risk;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? People aged 70 and over or with a medical condition have to stay at home except to do basic shopping or because urgent medical attention is required;q8e;;;;;q8e;category;totally disagree|disagree|neither/nore|agree|totally agree;TRUE;Policies;q8
support_curfew_non_crucial;;Under the current circumstances, do you disagree or agree with the following (possible) policies against spreading the coronavirus? Everyone who does not work in a crucial profession has to stay at home except to do basic shopping or because urgent medical care is required;q8f;;;;;q8f;category;totally disagree|disagree|neither/nore|agree|totally agree;TRUE;Policies;q8
duration_restrictions_general;;Until when dou you think that the limitations that exist now will remain in effect?;;;;;q7;q7;category;until April 6/28|btw. April 6/28 and 2 months|btw. 2 and 4 months|btw. 4 and 8 months|btw. 8 and 12 months|for more than 1 year;TRUE;Expected Timespan;q7
comply_curfew_others;;If the government obliges everyone to stay home tomorrow (except to do basic groceries), how many out of 100 people who don't work in critical professions would do this, do you think?;;;;;;q9;Int;;;compliance;q9
comply_bc_civic;;I would comply with a curfew because I see it as my civic duty.;;;;;;q11__1;bool;;;Compliance;q11
comply_bc_fear_punished;;I would comply with a curfew out of fear of being punished.;;;;;;q11__2;bool;;;Compliance;q11
comply_bc_protect_self;;I would comply with a curfew to protect myself from being infected.;;;;;;q11__3;bool;;;Compliance;q11
comply_bc_protect_close;;I would comply with a curfew to protect those close to me.;;;;;;q11__4;bool;;;Compliance;q11
comply_bc_protect_all;;I would comply with a curfew to protect others in general.;;;;;;q11__5;bool;;;Compliance;q11
comply_bc_high_risk;;I would comply with a curfew to protect vulnerable groups.;;;;;;q11__6;bool;;;Compliance;q11
comply_bc_other;;I would comply with a curfew for another reason.;;;;;;q11__7;bool;;;Compliance;q11
comply_bc_other_str;;I would comply with a curfew because of another resaon, namely:;;;;;;q11and;object;;;Compliance;q11
disobey_bc_freedom;;I would disobey a curfew because I don't accept such drastic infringements of my liberties;;;;;;q12__1;bool;;;Compliance;q12
disobey_bc_not_punish;;I would disobey a curfew because I don't believe that I would be punished.;;;;;;q12__2;bool;;;Compliance;q12
disobey_bc_unjustified;;I would disobey a curfew because I don't believe such drastic infringements are justified to stop the spread of coronavirus.;;;;;;q12__3;bool;;;Compliance;q12
disobey_bc_obligations;;I would disobey a curfew because I have obligations because of which I cannot follow the recommendaitons.;;;;;;q12__4;bool;;;Compliance;q12
disobey_bc_ineffective;;I would disobey a curfew because I don't believe that a curfew will slow the spread of coronavirus.;;;;;;q12__5;bool;;;Compliance;q12
disobey_bc_unaffected;;I would disobey a curfew because I don't believe I will be affected by the outbreak.;;;;;;q12__6;bool;;;Compliance;q12
disobey_bc_bored;;I would disobey a curfew because it would be too boring to stay home all the time.;;;;;;q12__7;bool;;;Compliance;q12
disobey_bc_other;;I would disobey a curfew because of another reason.;;;;;;q12__8;bool;;;Compliance;q12
disobey_bc_other_str;;I would disobey a curfew because of another reason, namely: ;;;;;;q12and;object;;;Compliance;q12
hours_workplace_202002;202002;On average, how many hours per week did you work at your workplace in early March?;;;;;q14a_1_q14werk_1;q14a;int;;;Employment;q14
hours_home_202002;202002;On average, how many hours per week did you work at home in early March?;;;;;q14a_1_q14thuis_1;q14c;int;;;Employment;q14
hours_workplace;;On average, how many hours per week did you work at your workplace in the past seven days?;q14b_q14werk;q14b_q14werk;q14b_q14werk;q14b_q14werk;q14c_q14werk;q14b;int;;;Employment;q14
hours_home;;On average, how many hours per week did you work at home  in the past seven days?;q14b_q14thuis;q14b_q14thuis;q14b_q14thuis;q14b_q14thuis;q14c_q14thuis;q14d;int;;;Employment;q14
hours_workplace_merge;;;;;;;q14b_1_q14werk_1;;int;;;Employment;q14
hours_home_merge;;;;;;;q14b_1_q14thuis_1;;int;;;Employment;q14
empl_not_work_lessbusiness;;Less business activity in the company where I work;;;;;q15__1;q15__1;bool;;;Employment;q15
empl_not_work_infection_gov;;;;;;;q15__2;;bool;;;Employment;q15
empl_not_work_infection_empl;;Because of the risk of infection, my employer postponed work;;;;;q15__3;q15__4;bool;;;Employment;q15
empl_not_work_care;;Must take care of people (children, parents) who depend on me;;;;;q15__4;q15__2;bool;;;Employment;q15
empl_not_work_fear_infection;;I do not go to my workplace because I am afraid of being infected by the coronavirus and I cannot do the work I do at;;;;;q15__5;q15__3;bool;;;Employment;q15
empl_not_work_sick;;;;;;;q15__6;;bool;;;Employment;q15
empl_not_work_vacation;;;;;;;q15__7;;bool;;;Employment;q15
empl_not_work_fired;;I got fired;;;;;q15__8;q15__5;bool;;;Employment;q15
empl_not_work_other;;Otherwise;;;;;q15__9;q15__6;bool;;;Employment;q15
empl_not_work_other_str;;Otherwise, namely:;;;;;q15and;q15and;object;;;Employment;q15
empl_less_work_lessbusiness;;Less business activity in the company where I work;;;;;q16__1;q16__1;bool;;;Employment;q16
empl_less_work_infection_gov;;;;;;;q16__2;;bool;;;Employment;q16
empl_less_work_infection_empl;;Because of the risk of infection, my employer has decided that less work will be done;;;;;q16__3;q16__4;bool;;;Employment;q16
empl_less_work_care;;Must take care of people (children, parents) who depend on me;;;;;q16__4;q16__2;bool;;;Employment;q16
empl_less_work_fear_infection;;I go to my workplace less because of fear of being infected by the coronavirus and not able to work at home.;;;;;q16__5;q16__3;bool;;;Employment;q16
empl_less_work_sick;;;;;;;q16__6;;bool;;;Employment;q16
empl_less_work_vacation;;;;;;;q16__7;;bool;;;Employment;q16
empl_less_work_unrel_corona;;;;;;;q16__8;;bool;;;Employment;q16
empl_less_work_other;;Otherwise;;;;;q16__9;q16__5;bool;;;Employment;q16
empl_less_work_other_str;;Otherwise, namely:;;;;;q16and;q16and;object;;;Employment;q16
selfempl_less_business;;Less business activity in my company;;;;;q17__1;q17__1;bool;;;Finances;q17
selfempl_less_infection_gov;;;;;;;q17__2;;bool;;;Finances;q17
selfempl_less_infection_self;;;;;;;q17__3;;bool;;;Finances;q17
selfempl_less_care;;Must take care of people (children, parents) who depend on me;;;;;q17__4;q17__2;bool;;;Finances;q17
selfempl_less_closure;;The entire company is closed (for now) due to the risk of contamination;;;;;;q17__3;bool;;;Finances;q17
selfempl_less_sick;;;;;;;q17__5;;bool;;;Finances;q17
selfempl_less_vacation;;;;;;;q17__6;;bool;;;Finances;q17
selfempl_less_unrel_corona;;;;;;;q17__7;;bool;;;Finances;q17
selfempl_less_other;;Other reason;;;;;q17__8;q17__4;bool;;;Finances;q17
selfempl_less_other_str;;Otherwise, namely:;;;;;q17and;q17and;object;;;Finances;q17
contact_young_people;;How often do you have personal social contacts with people who now work or study?;;;;;;q18;category;never|once a week|several times a week|daily;TRUE;Behavior;q18
pensioner_useful_skill;;Do you have a background or skill that can be immediately used by hospitals or healthcare to fight the coronavirus?;;;;;;q19;category;no, unable|no, lacking skills|medical training|social work training|organizational skills;FALSE;Health Beliefs;q19
pensioner_prepared_to_help;;Suppose healthcare is overloaded by patients infected with the coronavirus. To what extent are you willing to volunteer in hospitals or retirement homes and care for people who are very ill from the coronavirus, even if that means that you are likely to contract the virus yourself?;;;;;;q20;category;0 not prepared at all|1|2|3|4|5|6|7|8|9|10 definitely prepared;TRUE;Behavior;q20
intend_crisis_save_more;;Do you intend to do the following things in response to the spread of the coronavirus? Save more to have something to fall back on when things get worse;;;;;;q21__1;bool;;;Finances;q21
intend_crisis_postpone_purchase;;Do you intend to do the following things in response to the spread of the coronavirus? Postpone purchases of durable goods, such as a car, technical appliances or furniture, for the foreseeable future;;;;;;q21__2;bool;;;Finances;q21
intend_crisis_postpone_house;;Do you intend to do the following things in response to the spread of the coronavirus? Postpone the purchase of a house or apartment;;;;;;q21__3;bool;;;Finances;q21
intend_crisis_reduce_housing;;Do you intend to do the following things in response to the spread of the coronavirus? Moving to a smaller house or apartment;;;;;;q21__4;bool;;;Finances;q21
intend_crisis_sell_shares;;Do you intend to do the following things in response to the spread of the coronavirus? Selling shares;;;;;;q21__5;bool;;;Finances;q21
intend_crisis_buy_shares;;Do you intend to do the following things in response to the spread of the coronavirus? Buying shares;;;;;;q21__6;bool;;;Finances;q21
intend_crisis_no_action;;Do you intend to do the following things in response to the spread of the coronavirus? None of the above;;;;;;q21__7;bool;;;Finances;q21
eur_1k_basic_needs;;If the Dutch government today announced you would receive 1000 euros next week, what would you use that money for? Basic needs (e.g. groceries);;;;;;h1;Int;;;Finances;q_heli
eur_1k_expenses;;If the Dutch government today announced you would receive 1000 euros next week, what would you use that money for? Expenses (e.g. books);;;;;;h2;Int;;;Finances;q_heli
eur_1k_durables;;If the Dutch government today announced you would receive 1000 euros next week, what would you use that money for? Durables;;;;;;h3;Int;;;Finances;q_heli
eur_1k_savings;;If the Dutch government today announced you would receive 1000 euros next week, what would you use that money for? Savings;;;;;;h4;Int;;;Finances;q_heli
eur_1k_support_others;;If the Dutch government today announced you would receive 1000 euros next week, what would you use that money for? Financially support others;;;;;;h5;Int;;;Finances;q_heli
p_low_or_no_income;;What is the probability that the Coronavirus crisis will lead to a situation where you have no income or where your income is lower than what you need to cover basic needs and outstanding payment obligations?;;;;q28;;q28;Int;;;Finances;q28
low_inc_cope_savings;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Use savings;;;;q29__1;;q29__1;bool;;;Finances;q29
low_inc_cope_loan;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Have to take out a loan / increase the mortgage;;;;q29__2;;q29__2;bool;;;Finances;q29
low_inc_cope_family;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Must rely on family;;;;q29__3;;q29__3;bool;;;Finances;q29
low_inc_cope_unemp;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Must apply for unemployment / disability benefits;;;;q29__4;;q29__4;bool;;;Finances;q29
low_inc_cope_retire;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Must retire (early);;;;q29__5;;q29__5;bool;;;Finances;q29
low_inc_cope_soc_assist;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Must rely on social assistance;;;;q29__6;;q29__6;bool;;;Finances;q29
low_inc_cope_other;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Must rely on social assistance;;;;q29__999;;q29__999;bool;;;Finances;q29
low_inc_cope_other_str;;If the crisis leads to a situation where you have no income or where the income is lower than what you need to cover basic needs and outstanding payment obligations, how do you or your household deal with this? Other, namely:;;;;q29and;;q29and;object;;;Finances;q29
nervous_7d;;The past seven days I was very nervous;;;;q30a_wk_pre;;q30a;category;constantly|mostly|often|sometimes|rarely|never;TRUE;Mental Health;q30
depressed_7d;;The past seven days I was so down that nothing could cheer me up;;;;q30b_wk_pre;;q30b;category;constantly|mostly|often|sometimes|rarely|never;TRUE;Mental Health;q30
calm_7d;;The past seven days I felt calm and peaceful;;;;q30c_wk_pre;;q30c;category;never|rarely|sometimes|often|mostly|constantly;TRUE;Mental Health;q30
gloomy_7d;;The past seven days I felt dejected and gloomy;;;;q30d_wk_pre;;q30d;category;constantly|mostly|often|sometimes|rarely|never;TRUE;Mental Health;q30
happy_7d;;The past seven daysI felt happy;;;;q30e_wk_pre;;q30e;category;never|rarely|sometimes|often|mostly|constantly;TRUE;Mental Health;q30
concern_4w_bored;;That I get very bored;;;;q31a;q31a;q31a;category;1 not worried at all|2|3|4|5 very worried;TRUE;Mental Health;q31
concern_4w_serious_ill;;That I become infected with the coronavirus and become very ill or die;;;;q31b;q31b;q31b;category;1 not worried at all|2|3|4|5 very worried;TRUE;Mental Health;q31
concern_4w_infect_others;;That I get infected with the coronavirus and infect others;;;;q31c;q31c;q31c;category;1 not worried at all|2|3|4|5 very worried;TRUE;Mental Health;q31
concern_4w_loved_ill;;That loved ones become infected with the coronavirus and become very ill or die;;;;q31d;q31d;q31d;category;1 not worried at all|2|3|4|5 very worried;TRUE;Mental Health;q31
concern_4w_unemp;;That I will lose my job;;;;q31e1;q31e1;q31e1;category;1 not worried at all|2|3|4|5 very worried;TRUE;Mental Health;q31
concern_4w_company;;That my company gets in financial difficulties.;;;;q31e2;q31e2;q31e2;category;1 not worried at all|2|3|4|5 very worried;TRUE;Mental Health;q31
concern_4w_new_job;;That I won't be able to find a new job.;;;;q31e3;q31e3;q31e3;category;1 not worried at all|2|3|4|5 very worried;TRUE;Mental Health;q31
concern_4w_food;;That I am unable to buy enough food;;;;q31f;q31f;q31f;category;1 not worried at all|2|3|4|5 very worried;TRUE;Mental Health;q31
concern_4w_health_care;;That I will not get good health care;;;;q31g;q31g;q31g;category;1 not worried at all|2|3|4|5 very worried;TRUE;Mental Health;q31
concern_4w_fav_shop_bancrupt;;That my favorite restaurant / cafe is going bankrupt;;;;q31x;q31h;q31h;category;1 not worried at all|2|3|4|5 very worried;TRUE;Mental Health;q31
concern_4w_meet_loved;;That I can�t meet loved ones outside my household in person ;;;;;;;Int;;;Mental Health;q31
duration_econ_crisis;;How long do you think the economic crisis will last?;;;;;;v1;category;less than 1 month|1 to 3 months|3 to 6 months|6 to 12 months|1 to 2 years|2 to 3 years|3 years or more;TRUE;Finances;v1
l_12m_job_loss_employee;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? Job loss (employed);;;;;;v2a;category;very unlikely|unlikely|likely|very likely;TRUE;Finances;v2
l_12m_no_contracts_selfempl;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? No more contracts (self-employed);;;;;;v2b;category;very unlikely|unlikely|likely|very likely;TRUE;Finances;v2
l_12m_reduction_pension;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? Shortening my pension;;;;;;v2c;category;very unlikely|unlikely|likely|very likely;TRUE;Finances;v2
l_12m_drop_in_assets;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? Assets will drop in value;;;;;;v2d;category;very unlikely|unlikely|likely|very likely;TRUE;Finances;v2
l_12m_bank_bankrupt;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? My bank will go bankrupt;;;;;;v2e;category;very unlikely|unlikely|likely|very likely;TRUE;Finances;v2
l_12m_struggle_repay_debts;;How likely is it that the following economic effects of the coronavirus crisis will occur to you in the next 12 months? Struggle to repay debts;;;;;;v2f;category;very unlikely|unlikely|likely|very likely;TRUE;Finances;v2
e_12m_house_prices_direction;;At what level will house prices in 12 months be compared to house prices in February (ie before the coronavirus outbreak)?;;;;;;v3;category;house prices will be lower|house prices will be the same|house prices will be higher;TRUE;Macro Expectations;v3
e_12m_house_prices_change;;How many percent ^ f_hogerlager ;;;;;;v4;category;less than 2%|2% to 5%|5% to 10%|10% to 20%|20% to 30%|more than 30%;TRUE;Macro Expectations;v4
intend_12m_spend_less;;If you think about the coronavirus outbreak at this moment and then look ahead to the next 12 months, do you agree with the following statements? Spend less;;;;;;v5a;category;0 totally disagree|1|2|3|4|5|6|7|8|9|10 totally agree;TRUE;Finances;v5
intend_12m_work_more;;If you think about the coronavirus outbreak at this moment and then look ahead to the next 12 months, do you agree with the following statements? Work more;;;;;;v5c;category;0 totally disagree|1|2|3|4|5|6|7|8|9|10 totally agree;TRUE;Finances;v5
